timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2015,canada < canada_,usa < idaho,power,5.515955782102244,expExc
10th < 2020,canada < canada_,usa < idaho,power,5.515955782102244,expExc
10th < 2015,canada < canada_,usa < maine,power,2.0562160632926115e-7,expExc
10th < 2020,canada < canada_,usa < maine,power,2.0562160632926115e-7,expExc
10th < 2015,canada < canada_,usa < michigan,power,0.5896868686964186,expExc
10th < 2020,canada < canada_,usa < michigan,power,0.5896868686964186,expExc
10th < 2015,canada < canada_,usa < minnesota,power,0.3998631855308734,expExc
10th < 2020,canada < canada_,usa < minnesota,power,0.3998631855308734,expExc
10th < 2015,canada < canada_,usa < montana,power,1.8537708035255132,expExc
10th < 2020,canada < canada_,usa < montana,power,1.8537708035255132,expExc
10th < 2015,canada < canada_,usa < newHampshire,power,0.5558092574725941,expExc
10th < 2020,canada < canada_,usa < newHampshire,power,0.5558092574725941,expExc
10th < 2015,canada < canada_,usa < newYork,power,4.122291731630755,expExc
10th < 2020,canada < canada_,usa < newYork,power,4.122291731630755,expExc
10th < 2015,canada < canada_,usa < northDakota,power,2.1206757194393102e-6,expExc
10th < 2020,canada < canada_,usa < northDakota,power,2.1206757194393102e-6,expExc
10th < 2015,canada < canada_,usa < ohio,power,9.344393691190088,expExc
10th < 2020,canada < canada_,usa < ohio,power,9.344393691190088,expExc
10th < 2015,canada < canada_,usa < vermont,power,0.04495059324661852,expExc
10th < 2020,canada < canada_,usa < vermont,power,0.04495059324661852,expExc
10th < 2015,canada < canada_,usa < washington,power,7.842580489516125,expExc
10th < 2020,canada < canada_,usa < washington,power,7.842580489516125,expExc
10th < 2015,canada < canada_,usa < wisconsin,power,0.7627508236924276,expExc
10th < 2020,canada < canada_,usa < wisconsin,power,0.7627508236924276,expExc
10th < 2015,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,1.4018582074274855,expExc
10th < 2020,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,1.4018582074274855,expExc
10th < 2015,mexico < bajaCalifornia,mexico < noroeste,power,4.682152626100612,expExc
10th < 2020,mexico < bajaCalifornia,mexico < noroeste,power,4.682152626100612,expExc
10th < 2015,mexico < bajaCalifornia,usa < california,power,10.52065994181695,expExc
10th < 2020,mexico < bajaCalifornia,usa < california,power,10.52065994181695,expExc
10th < 2015,mexico < bajaCaliforniaSur,mexico < noroeste,power,2.5478690123359193,expExc
10th < 2020,mexico < bajaCaliforniaSur,mexico < noroeste,power,2.5478690123359193,expExc
10th < 2015,mexico < central,mexico < occidental,power,1.5095412257684022e-7,expExc
10th < 2020,mexico < central,mexico < occidental,power,1.5095412257684022e-7,expExc
10th < 2015,mexico < central,mexico < oriental,power,1.1717878738969485e-7,expExc
10th < 2020,mexico < central,mexico < oriental,power,1.1717878738969485e-7,expExc
10th < 2015,mexico < noreste,mexico < norte,power,8.624224468207508e-8,expExc
10th < 2020,mexico < noreste,mexico < norte,power,8.624224468207508e-8,expExc
10th < 2015,mexico < noreste,mexico < occidental,power,0.18274809359051553,expExc
10th < 2020,mexico < noreste,mexico < occidental,power,0.18274809359051553,expExc
10th < 2015,mexico < noreste,mexico < oriental,power,0.015030929293773575,expExc
10th < 2020,mexico < noreste,mexico < oriental,power,0.015030929293773575,expExc
10th < 2015,mexico < noroeste,mexico < norte,power,0.46934662632081875,expExc
10th < 2020,mexico < noroeste,mexico < norte,power,0.46934662632081875,expExc
10th < 2015,mexico < noroeste,mexico < occidental,power,4.767192225678608,expExc
10th < 2020,mexico < noroeste,mexico < occidental,power,4.767192225678608,expExc
10th < 2015,mexico < norte,mexico < occidental,power,4.835042045395721e-6,expExc
10th < 2020,mexico < norte,mexico < occidental,power,4.835042045395721e-6,expExc
10th < 2015,mexico < occidental,mexico < oriental,power,0.20894717166004664,expExc
10th < 2020,mexico < occidental,mexico < oriental,power,0.20894717166004664,expExc
10th < 2015,mexico < oriental,mexico < peninsular,power,0.40712767113403264,expExc
10th < 2020,mexico < oriental,mexico < peninsular,power,0.40712767113403264,expExc
10th < 2015,usa < alabama,usa < florida,power,1.16484112277494,expExc
10th < 2020,usa < alabama,usa < florida,power,1.16484112277494,expExc
10th < 2015,usa < alabama,usa < georgia,power,4.5829365596742315e-8,expExc
10th < 2020,usa < alabama,usa < georgia,power,4.5829365596742315e-8,expExc
10th < 2015,usa < alabama,usa < mississippi,power,4.3774147743588734e-8,expExc
10th < 2020,usa < alabama,usa < mississippi,power,4.3774147743588734e-8,expExc
10th < 2015,usa < alabama,usa < tennessee,power,8.5937724038039e-8,expExc
10th < 2020,usa < alabama,usa < tennessee,power,8.5937724038039e-8,expExc
10th < 2015,usa < arizona,usa < california,power,2.7691908581400853,expExc
10th < 2020,usa < arizona,usa < california,power,2.7691908581400853,expExc
10th < 2015,usa < arizona,usa < colorado,power,0.7222708161347153,expExc
10th < 2020,usa < arizona,usa < colorado,power,0.7222708161347153,expExc
10th < 2015,usa < arizona,usa < nevada,power,1.772782833552629e-7,expExc
10th < 2020,usa < arizona,usa < nevada,power,1.772782833552629e-7,expExc
10th < 2015,usa < arizona,usa < newMexico,power,3.1699922267222806,expExc
10th < 2020,usa < arizona,usa < newMexico,power,3.1699922267222806,expExc
10th < 2015,usa < arizona,usa < utah,power,2.3525348525674787e-7,expExc
10th < 2020,usa < arizona,usa < utah,power,2.3525348525674787e-7,expExc
10th < 2015,usa < arkansas,usa < louisiana,power,4.3305271748534206e-8,expExc
10th < 2020,usa < arkansas,usa < louisiana,power,4.3305271748534206e-8,expExc
10th < 2015,usa < arkansas,usa < mississippi,power,4.888829815259481e-8,expExc
10th < 2020,usa < arkansas,usa < mississippi,power,4.888829815259481e-8,expExc
10th < 2015,usa < arkansas,usa < missouri,power,0.3998958165372049,expExc
10th < 2020,usa < arkansas,usa < missouri,power,0.3998958165372049,expExc
10th < 2015,usa < arkansas,usa < oklahoma,power,7.390217298036632e-8,expExc
10th < 2020,usa < arkansas,usa < oklahoma,power,7.390217298036632e-8,expExc
10th < 2015,usa < arkansas,usa < tennessee,power,7.560796978076776e-8,expExc
10th < 2020,usa < arkansas,usa < tennessee,power,7.560796978076776e-8,expExc
10th < 2015,usa < arkansas,usa < texas,power,6.724647824121946e-8,expExc
10th < 2020,usa < arkansas,usa < texas,power,6.724647824121946e-8,expExc
10th < 2015,usa < california,usa < nevada,power,3.9093571520870985e-6,expExc
10th < 2020,usa < california,usa < nevada,power,3.9093571520870985e-6,expExc
10th < 2015,usa < california,usa < oregon,power,4.566288789790514,expExc
10th < 2020,usa < california,usa < oregon,power,4.566288789790514,expExc
10th < 2015,usa < california,usa < utah,power,6.482820588715342,expExc
10th < 2020,usa < california,usa < utah,power,6.482820588715342,expExc
