timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2015,canada < canada_,usa < idaho,power,5.559139969256901,expExc
10th < 2020,canada < canada_,usa < idaho,power,5.559139969256901,expExc
10th < 2015,canada < canada_,usa < maine,power,1.6882999790857643e-7,expExc
10th < 2020,canada < canada_,usa < maine,power,1.6882999790857643e-7,expExc
10th < 2015,canada < canada_,usa < michigan,power,0.6004119713573642,expExc
10th < 2020,canada < canada_,usa < michigan,power,0.6004119713573642,expExc
10th < 2015,canada < canada_,usa < minnesota,power,0.3998676654583012,expExc
10th < 2020,canada < canada_,usa < minnesota,power,0.3998676654583012,expExc
10th < 2015,canada < canada_,usa < montana,power,1.889168287376331,expExc
10th < 2020,canada < canada_,usa < montana,power,1.889168287376331,expExc
10th < 2015,canada < canada_,usa < newHampshire,power,0.5681680831372723,expExc
10th < 2020,canada < canada_,usa < newHampshire,power,0.5681680831372723,expExc
10th < 2015,canada < canada_,usa < newYork,power,4.122276751159757,expExc
10th < 2020,canada < canada_,usa < newYork,power,4.122276751159757,expExc
10th < 2015,canada < canada_,usa < northDakota,power,2.527696677562497e-6,expExc
10th < 2020,canada < canada_,usa < northDakota,power,2.527696677562497e-6,expExc
10th < 2015,canada < canada_,usa < ohio,power,9.350575402299052,expExc
10th < 2020,canada < canada_,usa < ohio,power,9.350575402299052,expExc
10th < 2015,canada < canada_,usa < vermont,power,0.03261585030037155,expExc
10th < 2020,canada < canada_,usa < vermont,power,0.03261585030037155,expExc
10th < 2015,canada < canada_,usa < washington,power,7.762530554574542,expExc
10th < 2020,canada < canada_,usa < washington,power,7.762530554574542,expExc
10th < 2015,canada < canada_,usa < wisconsin,power,0.7454656314505572,expExc
10th < 2020,canada < canada_,usa < wisconsin,power,0.7454656314505572,expExc
10th < 2015,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,1.401842676188869,expExc
10th < 2020,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,1.401842676188869,expExc
10th < 2015,mexico < bajaCalifornia,mexico < noroeste,power,4.680378044178946,expExc
10th < 2020,mexico < bajaCalifornia,mexico < noroeste,power,4.680378044178946,expExc
10th < 2015,mexico < bajaCalifornia,usa < california,power,10.52124567826678,expExc
10th < 2020,mexico < bajaCalifornia,usa < california,power,10.52124567826678,expExc
10th < 2015,mexico < bajaCaliforniaSur,mexico < noroeste,power,2.54788707393315,expExc
10th < 2020,mexico < bajaCaliforniaSur,mexico < noroeste,power,2.54788707393315,expExc
10th < 2015,mexico < central,mexico < occidental,power,1.7164979533299102e-7,expExc
10th < 2020,mexico < central,mexico < occidental,power,1.7164979533299102e-7,expExc
10th < 2015,mexico < central,mexico < oriental,power,1.2258217000856447e-7,expExc
10th < 2020,mexico < central,mexico < oriental,power,1.2258217000856447e-7,expExc
10th < 2015,mexico < noreste,mexico < norte,power,1.0248029459550716e-7,expExc
10th < 2020,mexico < noreste,mexico < norte,power,1.0248029459550716e-7,expExc
10th < 2015,mexico < noreste,mexico < occidental,power,0.18397002402549242,expExc
10th < 2020,mexico < noreste,mexico < occidental,power,0.18397002402549242,expExc
10th < 2015,mexico < noreste,mexico < oriental,power,0.013784507594282219,expExc
10th < 2020,mexico < noreste,mexico < oriental,power,0.013784507594282219,expExc
