timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2015,canada < canada_,usa < idaho,power,5.6270088720080755,expExc
10th < 2020,canada < canada_,usa < idaho,power,5.6270088720080755,expExc
10th < 2015,canada < canada_,usa < maine,power,1.9728245310988665e-7,expExc
10th < 2020,canada < canada_,usa < maine,power,1.9728245310988665e-7,expExc
10th < 2015,canada < canada_,usa < michigan,power,0.5318775814052448,expExc
10th < 2020,canada < canada_,usa < michigan,power,0.5318775814052448,expExc
10th < 2015,canada < canada_,usa < minnesota,power,0.3998638653236001,expExc
10th < 2020,canada < canada_,usa < minnesota,power,0.3998638653236001,expExc
10th < 2015,canada < canada_,usa < montana,power,1.8596076030469866,expExc
10th < 2020,canada < canada_,usa < montana,power,1.8596076030469866,expExc
10th < 2015,canada < canada_,usa < newHampshire,power,0.5556610053657498,expExc
10th < 2020,canada < canada_,usa < newHampshire,power,0.5556610053657498,expExc
10th < 2015,canada < canada_,usa < newYork,power,4.122299100080117,expExc
10th < 2020,canada < canada_,usa < newYork,power,4.122299100080117,expExc
10th < 2015,canada < canada_,usa < northDakota,power,1.462024181525399e-6,expExc
10th < 2020,canada < canada_,usa < northDakota,power,1.462024181525399e-6,expExc
10th < 2015,canada < canada_,usa < ohio,power,9.450048601230838,expExc
10th < 2020,canada < canada_,usa < ohio,power,9.450048601230838,expExc
10th < 2015,canada < canada_,usa < vermont,power,0.045086300694913185,expExc
10th < 2020,canada < canada_,usa < vermont,power,0.045086300694913185,expExc
10th < 2015,canada < canada_,usa < washington,power,7.724002649642671,expExc
10th < 2020,canada < canada_,usa < washington,power,7.724002649642671,expExc
10th < 2015,canada < canada_,usa < wisconsin,power,0.7150895927261537,expExc
10th < 2020,canada < canada_,usa < wisconsin,power,0.7150895927261537,expExc
10th < 2015,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,1.4018375260136453,expExc
10th < 2020,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,1.4018375260136453,expExc
10th < 2015,mexico < bajaCalifornia,mexico < noroeste,power,4.680704620726077,expExc
10th < 2020,mexico < bajaCalifornia,mexico < noroeste,power,4.680704620726077,expExc
10th < 2015,mexico < bajaCalifornia,usa < california,power,10.521705448897835,expExc
10th < 2020,mexico < bajaCalifornia,usa < california,power,10.521705448897835,expExc
10th < 2015,mexico < bajaCaliforniaSur,mexico < noroeste,power,2.5478895794011396,expExc
10th < 2020,mexico < bajaCaliforniaSur,mexico < noroeste,power,2.5478895794011396,expExc
10th < 2015,mexico < central,mexico < occidental,power,1.355517570957773e-7,expExc
10th < 2020,mexico < central,mexico < occidental,power,1.355517570957773e-7,expExc
10th < 2015,mexico < central,mexico < oriental,power,8.537107818923606e-8,expExc
10th < 2020,mexico < central,mexico < oriental,power,8.537107818923606e-8,expExc
10th < 2015,mexico < noreste,mexico < norte,power,9.31968123705772e-8,expExc
10th < 2020,mexico < noreste,mexico < norte,power,9.31968123705772e-8,expExc
10th < 2015,mexico < noreste,mexico < occidental,power,0.1840445005198641,expExc
10th < 2020,mexico < noreste,mexico < occidental,power,0.1840445005198641,expExc
10th < 2015,mexico < noreste,mexico < oriental,power,0.013699028346834959,expExc
10th < 2020,mexico < noreste,mexico < oriental,power,0.013699028346834959,expExc
10th < 2015,mexico < noroeste,mexico < norte,power,0.4693676135864806,expExc
10th < 2020,mexico < noroeste,mexico < norte,power,0.4693676135864806,expExc
10th < 2015,mexico < noroeste,mexico < occidental,power,4.76570224156584,expExc
10th < 2020,mexico < noroeste,mexico < occidental,power,4.76570224156584,expExc
10th < 2015,mexico < norte,mexico < occidental,power,5.409684835710956e-6,expExc
10th < 2020,mexico < norte,mexico < occidental,power,5.409684835710956e-6,expExc
10th < 2015,mexico < occidental,mexico < oriental,power,0.21134196844405795,expExc
10th < 2020,mexico < occidental,mexico < oriental,power,0.21134196844405795,expExc
10th < 2015,mexico < oriental,mexico < peninsular,power,0.4071281252992573,expExc
10th < 2020,mexico < oriental,mexico < peninsular,power,0.4071281252992573,expExc
10th < 2015,usa < alabama,usa < florida,power,1.1601878502124245,expExc
10th < 2020,usa < alabama,usa < florida,power,1.1601878502124245,expExc
10th < 2015,usa < alabama,usa < georgia,power,3.969639780614794e-8,expExc
10th < 2020,usa < alabama,usa < georgia,power,3.969639780614794e-8,expExc
10th < 2015,usa < alabama,usa < mississippi,power,4.51701927143111e-8,expExc
10th < 2020,usa < alabama,usa < mississippi,power,4.51701927143111e-8,expExc
10th < 2015,usa < alabama,usa < tennessee,power,8.484117143222032e-8,expExc
10th < 2020,usa < alabama,usa < tennessee,power,8.484117143222032e-8,expExc
10th < 2015,usa < arizona,usa < california,power,2.752115085427386,expExc
10th < 2020,usa < arizona,usa < california,power,2.752115085427386,expExc
10th < 2015,usa < arizona,usa < colorado,power,0.7197705311343967,expExc
10th < 2020,usa < arizona,usa < colorado,power,0.7197705311343967,expExc
10th < 2015,usa < arizona,usa < nevada,power,1.9188229222826847e-7,expExc
10th < 2020,usa < arizona,usa < nevada,power,1.9188229222826847e-7,expExc
10th < 2015,usa < arizona,usa < newMexico,power,3.1568389435539803,expExc
10th < 2020,usa < arizona,usa < newMexico,power,3.1568389435539803,expExc
10th < 2015,usa < arizona,usa < utah,power,1.9320128431798753e-7,expExc
10th < 2020,usa < arizona,usa < utah,power,1.9320128431798753e-7,expExc
10th < 2015,usa < arkansas,usa < louisiana,power,4.440441358890979e-8,expExc
10th < 2020,usa < arkansas,usa < louisiana,power,4.440441358890979e-8,expExc
10th < 2015,usa < arkansas,usa < mississippi,power,4.994330842355446e-8,expExc
10th < 2020,usa < arkansas,usa < mississippi,power,4.994330842355446e-8,expExc
10th < 2015,usa < arkansas,usa < missouri,power,0.39882014325873594,expExc
10th < 2020,usa < arkansas,usa < missouri,power,0.39882014325873594,expExc
10th < 2015,usa < arkansas,usa < oklahoma,power,6.87218394763525e-8,expExc
10th < 2020,usa < arkansas,usa < oklahoma,power,6.87218394763525e-8,expExc
10th < 2015,usa < arkansas,usa < tennessee,power,7.248916919118861e-8,expExc
10th < 2020,usa < arkansas,usa < tennessee,power,7.248916919118861e-8,expExc
10th < 2015,usa < arkansas,usa < texas,power,6.71000145672217e-8,expExc
10th < 2020,usa < arkansas,usa < texas,power,6.71000145672217e-8,expExc
10th < 2015,usa < california,usa < nevada,power,5.455548660241099e-6,expExc
10th < 2020,usa < california,usa < nevada,power,5.455548660241099e-6,expExc
10th < 2015,usa < california,usa < oregon,power,4.566291348327867,expExc
10th < 2020,usa < california,usa < oregon,power,4.566291348327867,expExc
10th < 2015,usa < california,usa < utah,power,6.498422841297642,expExc
10th < 2020,usa < california,usa < utah,power,6.498422841297642,expExc
10th < 2015,usa < colorado,usa < kansas,power,2.0760306844848356e-7,expExc
10th < 2020,usa < colorado,usa < kansas,power,2.0760306844848356e-7,expExc
10th < 2015,usa < colorado,usa < nebraska,power,0.9162154745329791,expExc
10th < 2020,usa < colorado,usa < nebraska,power,0.9162154745329791,expExc
10th < 2015,usa < colorado,usa < newMexico,power,9.585056879242386e-8,expExc
10th < 2020,usa < colorado,usa < newMexico,power,9.585056879242386e-8,expExc
10th < 2015,usa < colorado,usa < oklahoma,power,2.419361337998383,expExc
10th < 2020,usa < colorado,usa < oklahoma,power,2.419361337998383,expExc
10th < 2015,usa < colorado,usa < utah,power,0.2636151753991061,expExc
10th < 2020,usa < colorado,usa < utah,power,0.2636151753991061,expExc
10th < 2015,usa < colorado,usa < wyoming,power,5.411957117716657e-6,expExc
10th < 2020,usa < colorado,usa < wyoming,power,5.411957117716657e-6,expExc
10th < 2015,usa < connecticut,usa < massachusetts,power,5.20967223189958e-8,expExc
10th < 2020,usa < connecticut,usa < massachusetts,power,5.20967223189958e-8,expExc
10th < 2015,usa < connecticut,usa < newYork,power,4.866038806644615e-8,expExc
10th < 2020,usa < connecticut,usa < newYork,power,4.866038806644615e-8,expExc
10th < 2015,usa < connecticut,usa < rhodeIsland,power,5.138331009138528e-8,expExc
10th < 2020,usa < connecticut,usa < rhodeIsland,power,5.138331009138528e-8,expExc
10th < 2015,usa < delaware,usa < maryland,power,1.7679925233559532,expExc
10th < 2020,usa < delaware,usa < maryland,power,1.7679925233559532,expExc
10th < 2015,usa < delaware,usa < newJersey,power,0.04593266594255012,expExc
10th < 2020,usa < delaware,usa < newJersey,power,0.04593266594255012,expExc
10th < 2015,usa < delaware,usa < pennsylvania,power,0.5786688696063316,expExc
10th < 2020,usa < delaware,usa < pennsylvania,power,0.5786688696063316,expExc
10th < 2015,usa < florida,usa < georgia,power,0.4827284091236384,expExc
10th < 2020,usa < florida,usa < georgia,power,0.4827284091236384,expExc
10th < 2015,usa < georgia,usa < northCarolina,power,9.981141907607353e-8,expExc
10th < 2020,usa < georgia,usa < northCarolina,power,9.981141907607353e-8,expExc
10th < 2015,usa < georgia,usa < southCarolina,power,7.710324403036082e-8,expExc
10th < 2020,usa < georgia,usa < southCarolina,power,7.710324403036082e-8,expExc
10th < 2015,usa < georgia,usa < tennessee,power,8.66463227051502e-8,expExc
10th < 2020,usa < georgia,usa < tennessee,power,8.66463227051502e-8,expExc
10th < 2015,usa < idaho,usa < montana,power,4.134833126837724e-8,expExc
10th < 2020,usa < idaho,usa < montana,power,4.134833126837724e-8,expExc
10th < 2015,usa < idaho,usa < nevada,power,2.2431313038244167,expExc
10th < 2020,usa < idaho,usa < nevada,power,2.2431313038244167,expExc
10th < 2015,usa < idaho,usa < oregon,power,6.23905088203924e-6,expExc
10th < 2020,usa < idaho,usa < oregon,power,6.23905088203924e-6,expExc
10th < 2015,usa < idaho,usa < utah,power,6.674966190679609e-6,expExc
10th < 2020,usa < idaho,usa < utah,power,6.674966190679609e-6,expExc
10th < 2015,usa < idaho,usa < washington,power,3.795788744295475e-8,expExc
10th < 2020,usa < idaho,usa < washington,power,3.795788744295475e-8,expExc
10th < 2015,usa < idaho,usa < wyoming,power,4.8243285162926336e-8,expExc
10th < 2020,usa < idaho,usa < wyoming,power,4.8243285162926336e-8,expExc
10th < 2015,usa < illinois,usa < indiana,power,3.7849170797926713e-8,expExc
10th < 2020,usa < illinois,usa < indiana,power,3.7849170797926713e-8,expExc
10th < 2015,usa < illinois,usa < iowa,power,1.16597927301971e-7,expExc
10th < 2020,usa < illinois,usa < iowa,power,1.16597927301971e-7,expExc
10th < 2015,usa < illinois,usa < kentucky,power,0.0189025717828334,expExc
10th < 2020,usa < illinois,usa < kentucky,power,0.0189025717828334,expExc
10th < 2015,usa < illinois,usa < michigan,power,3.120665121549004e-6,expExc
10th < 2020,usa < illinois,usa < michigan,power,3.120665121549004e-6,expExc
10th < 2015,usa < illinois,usa < missouri,power,2.4667530396540807,expExc
