timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2015,canada < canada_,usa < idaho,power,8.612739546227694,expExc
10th < 2020,canada < canada_,usa < idaho,power,8.612739546227694,expExc
10th < 2015,canada < canada_,usa < maine,power,3.393216262068831e-10,expExc
10th < 2020,canada < canada_,usa < maine,power,3.393216262068831e-10,expExc
10th < 2015,canada < canada_,usa < michigan,power,0.29053306690408076,expExc
10th < 2020,canada < canada_,usa < michigan,power,0.29053306690408076,expExc
10th < 2015,canada < canada_,usa < minnesota,power,8.468047250882059e-11,expExc
10th < 2020,canada < canada_,usa < minnesota,power,8.468047250882059e-11,expExc
10th < 2015,canada < canada_,usa < montana,power,1.1341086554096532e-9,expExc
10th < 2020,canada < canada_,usa < montana,power,1.1341086554096532e-9,expExc
10th < 2015,canada < canada_,usa < newHampshire,power,1.7904990963544785,expExc
10th < 2020,canada < canada_,usa < newHampshire,power,1.7904990963544785,expExc
10th < 2015,canada < canada_,usa < newYork,power,4.932925183068226,expExc
10th < 2020,canada < canada_,usa < newYork,power,4.932925183068226,expExc
10th < 2015,canada < canada_,usa < northDakota,power,1.464685850280249e-10,expExc
10th < 2020,canada < canada_,usa < northDakota,power,1.464685850280249e-10,expExc
10th < 2015,canada < canada_,usa < ohio,power,6.348565206953719,expExc
10th < 2020,canada < canada_,usa < ohio,power,6.348565206953719,expExc
10th < 2015,canada < canada_,usa < vermont,power,0.7322551802321025,expExc
10th < 2020,canada < canada_,usa < vermont,power,0.7322551802321025,expExc
10th < 2015,canada < canada_,usa < washington,power,4.620433765936588,expExc
10th < 2020,canada < canada_,usa < washington,power,4.620433765936588,expExc
10th < 2015,canada < canada_,usa < wisconsin,power,1.8290851394939386e-8,expExc
10th < 2020,canada < canada_,usa < wisconsin,power,1.8290851394939386e-8,expExc
10th < 2015,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,0.34017884126220166,expExc
10th < 2020,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,0.34017884126220166,expExc
10th < 2015,mexico < bajaCalifornia,mexico < noroeste,power,8.989925185465212,expExc
10th < 2020,mexico < bajaCalifornia,mexico < noroeste,power,8.989925185465212,expExc
10th < 2015,mexico < bajaCalifornia,usa < california,power,8.497664242382001,expExc
10th < 2020,mexico < bajaCalifornia,usa < california,power,8.497664242382001,expExc
10th < 2015,mexico < bajaCaliforniaSur,mexico < noroeste,power,0.05073811874880583,expExc
10th < 2020,mexico < bajaCaliforniaSur,mexico < noroeste,power,0.05073811874880583,expExc
10th < 2015,mexico < central,mexico < occidental,power,3.630826114184648e-11,expExc
10th < 2020,mexico < central,mexico < occidental,power,3.630826114184648e-11,expExc
10th < 2015,mexico < central,mexico < oriental,power,0.30087692800437554,expExc
10th < 2020,mexico < central,mexico < oriental,power,0.30087692800437554,expExc
10th < 2015,mexico < noreste,mexico < norte,power,1.7780749264577753e-11,expExc
10th < 2020,mexico < noreste,mexico < norte,power,1.7780749264577753e-11,expExc
10th < 2015,mexico < noreste,mexico < occidental,power,7.819024012706854e-10,expExc
10th < 2020,mexico < noreste,mexico < occidental,power,7.819024012706854e-10,expExc
10th < 2015,mexico < noreste,mexico < oriental,power,0.3044731121780865,expExc
10th < 2020,mexico < noreste,mexico < oriental,power,0.3044731121780865,expExc
10th < 2015,mexico < noroeste,mexico < norte,power,4.1842902283384545e-10,expExc
10th < 2020,mexico < noroeste,mexico < norte,power,4.1842902283384545e-10,expExc
10th < 2015,mexico < noroeste,mexico < occidental,power,8.25446895540939,expExc
10th < 2020,mexico < noroeste,mexico < occidental,power,8.25446895540939,expExc
10th < 2015,mexico < norte,mexico < occidental,power,9.36148315104846e-10,expExc
10th < 2020,mexico < norte,mexico < occidental,power,9.36148315104846e-10,expExc
10th < 2015,mexico < occidental,mexico < oriental,power,8.669847044925286,expExc
10th < 2020,mexico < occidental,mexico < oriental,power,8.669847044925286,expExc
10th < 2015,mexico < oriental,mexico < peninsular,power,1.0232765640740151,expExc
10th < 2020,mexico < oriental,mexico < peninsular,power,1.0232765640740151,expExc
10th < 2015,usa < alabama,usa < florida,power,1.7524266676771714,expExc
10th < 2020,usa < alabama,usa < florida,power,1.7524266676771714,expExc
10th < 2015,usa < alabama,usa < georgia,power,1.356265154583272e-11,expExc
10th < 2020,usa < alabama,usa < georgia,power,1.356265154583272e-11,expExc
10th < 2015,usa < alabama,usa < mississippi,power,1.6163352176618772e-11,expExc
10th < 2020,usa < alabama,usa < mississippi,power,1.6163352176618772e-11,expExc
10th < 2015,usa < alabama,usa < tennessee,power,6.682014252428183e-11,expExc
10th < 2020,usa < alabama,usa < tennessee,power,6.682014252428183e-11,expExc
10th < 2015,usa < arizona,usa < california,power,3.808029448248919,expExc
10th < 2020,usa < arizona,usa < california,power,3.808029448248919,expExc
10th < 2015,usa < arizona,usa < colorado,power,1.7736173667066523e-9,expExc
10th < 2020,usa < arizona,usa < colorado,power,1.7736173667066523e-9,expExc
10th < 2015,usa < arizona,usa < nevada,power,1.3149232244168127e-11,expExc
10th < 2020,usa < arizona,usa < nevada,power,1.3149232244168127e-11,expExc
10th < 2015,usa < arizona,usa < newMexico,power,0.07019618255017397,expExc
10th < 2020,usa < arizona,usa < newMexico,power,0.07019618255017397,expExc
10th < 2015,usa < arizona,usa < utah,power,1.7565558453083895e-11,expExc
10th < 2020,usa < arizona,usa < utah,power,1.7565558453083895e-11,expExc
10th < 2015,usa < arkansas,usa < louisiana,power,1.709697470731128e-11,expExc
10th < 2020,usa < arkansas,usa < louisiana,power,1.709697470731128e-11,expExc
10th < 2015,usa < arkansas,usa < mississippi,power,2.4650410075669117e-11,expExc
10th < 2020,usa < arkansas,usa < mississippi,power,2.4650410075669117e-11,expExc
10th < 2015,usa < arkansas,usa < missouri,power,5.727839559311499e-11,expExc
10th < 2020,usa < arkansas,usa < missouri,power,5.727839559311499e-11,expExc
10th < 2015,usa < arkansas,usa < oklahoma,power,2.187765765355392e-11,expExc
10th < 2020,usa < arkansas,usa < oklahoma,power,2.187765765355392e-11,expExc
10th < 2015,usa < arkansas,usa < tennessee,power,2.6771347557794134e-11,expExc
10th < 2020,usa < arkansas,usa < tennessee,power,2.6771347557794134e-11,expExc
10th < 2015,usa < arkansas,usa < texas,power,2.5935331517115207e-11,expExc
10th < 2020,usa < arkansas,usa < texas,power,2.5935331517115207e-11,expExc
10th < 2015,usa < california,usa < nevada,power,0.48560781122965935,expExc
10th < 2020,usa < california,usa < nevada,power,0.48560781122965935,expExc
10th < 2015,usa < california,usa < oregon,power,5.426879778134545,expExc
10th < 2020,usa < california,usa < oregon,power,5.426879778134545,expExc
10th < 2015,usa < california,usa < utah,power,2.294753750110766,expExc
10th < 2020,usa < california,usa < utah,power,2.294753750110766,expExc
10th < 2015,usa < colorado,usa < kansas,power,8.510132588404954e-11,expExc
10th < 2020,usa < colorado,usa < kansas,power,8.510132588404954e-11,expExc
10th < 2015,usa < colorado,usa < nebraska,power,2.2066844896572473,expExc
10th < 2020,usa < colorado,usa < nebraska,power,2.2066844896572473,expExc
10th < 2015,usa < colorado,usa < newMexico,power,2.4295156476636492e-11,expExc
10th < 2020,usa < colorado,usa < newMexico,power,2.4295156476636492e-11,expExc
10th < 2015,usa < colorado,usa < oklahoma,power,3.811042300672976,expExc
