errStatus,section,location,message
green,timestep mapping,,superordinate dispatch level provided via options was used
green,parameter read-in,validity check,non-unique entries discovered for capaExcResi
green,parameter read-in,validity check,non-unique entries discovered for costExpExc
yellow,limit,gen,"upper or lower limit of zero detected, please consider to use fix or omit limit instead"
yellow,limit,capaConv,"upper or lower limit of zero detected, please consider to use fix or omit limit instead"
yellow,limit,use,"upper or lower limit of zero detected, please consider to use fix or omit limit instead"
yellow,limit,capaStIn,"upper or lower limit of zero detected, please consider to use fix or omit limit instead"
