carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
hydrogen,kentucky,missouri,costVarExc,0.56,capaExcResi,100,expExcFix,0
hydrogen,kentucky,ohio,costVarExc,0.22,capaExcResi,100,expExcFix,0
hydrogen,kentucky,tennessee,costVarExc,0.25,capaExcResi,100,expExcFix,0
hydrogen,kentucky,virginia,costVarExc,0.58,capaExcResi,100,expExcFix,0
hydrogen,kentucky,westVirginia,costVarExc,0.25,capaExcResi,100,expExcFix,0
hydrogen,louisiana,mississippi,costVarExc,0.2,capaExcResi,100,expExcFix,0
hydrogen,louisiana,texas,costVarExc,0.56,capaExcResi,100,expExcFix,0
hydrogen,maine,newHampshire,costVarExc,0.17,capaExcResi,100,expExcFix,0
hydrogen,maryland,pennsylvania,costVarExc,0.13,capaExcResi,100,expExcFix,0
hydrogen,maryland,virginia,costVarExc,0.16,capaExcResi,100,expExcFix,0
hydrogen,maryland,westVirginia,costVarExc,0.4,capaExcResi,100,expExcFix,0
hydrogen,massachusetts,newHampshire,costVarExc,0.09,capaExcResi,100,expExcFix,0
hydrogen,massachusetts,newYork,costVarExc,0.2,capaExcResi,100,expExcFix,0
hydrogen,massachusetts,rhodeIsland,costVarExc,0.06,capaExcResi,100,expExcFix,0
hydrogen,massachusetts,vermont,costVarExc,0.22,capaExcResi,100,expExcFix,0
hydrogen,michigan,minnesota,costVarExc,0.64,capaExcResi,100,expExcFix,0
hydrogen,michigan,ohio,costVarExc,0.3,capaExcResi,100,expExcFix,0
hydrogen,michigan,wisconsin,costVarExc,0.35,capaExcResi,100,expExcFix,0
hydrogen,minnesota,northDakota,costVarExc,0.56,capaExcResi,100,expExcFix,0
hydrogen,minnesota,southDakota,costVarExc,0.51,capaExcResi,100,expExcFix,0
hydrogen,minnesota,wisconsin,costVarExc,0.32,capaExcResi,100,expExcFix,0
hydrogen,mississippi,tennessee,costVarExc,0.47,capaExcResi,100,expExcFix,0
hydrogen,missouri,nebraska,costVarExc,0.41,capaExcResi,100,expExcFix,0
hydrogen,missouri,oklahoma,costVarExc,0.52,capaExcResi,100,expExcFix,0
hydrogen,missouri,tennessee,costVarExc,0.48,capaExcResi,100,expExcFix,0
hydrogen,montana,northDakota,costVarExc,0.76,capaExcResi,100,expExcFix,0
hydrogen,montana,southDakota,costVarExc,0.84,capaExcResi,100,expExcFix,0
hydrogen,montana,wyoming,costVarExc,0.74,capaExcResi,100,expExcFix,0
hydrogen,nebraska,southDakota,costVarExc,0.44,capaExcResi,100,expExcFix,0
hydrogen,nebraska,wyoming,costVarExc,0.6,capaExcResi,100,expExcFix,0
hydrogen,nevada,oregon,costVarExc,0.62,capaExcResi,100,expExcFix,0
hydrogen,nevada,utah,costVarExc,0.61,capaExcResi,100,expExcFix,0
hydrogen,newHampshire,vermont,costVarExc,0.13,capaExcResi,100,expExcFix,0
hydrogen,newJersey,newYork,costVarExc,0.25,capaExcResi,100,expExcFix,0
hydrogen,newJersey,pennsylvania,costVarExc,0.16,capaExcResi,100,expExcFix,0
hydrogen,newMexico,norte,costVarExc,0.4,capaExcResi,100,expExcFix,0
hydrogen,newMexico,oklahoma,costVarExc,0.67,capaExcResi,100,expExcFix,0
hydrogen,newMexico,texas,costVarExc,0.86,capaExcResi,100,expExcFix,0
hydrogen,newMexico,utah,costVarExc,0.68,capaExcResi,100,expExcFix,0
hydrogen,newYork,pennsylvania,costVarExc,0.33,capaExcResi,100,expExcFix,0
hydrogen,newYork,rhodeIsland,costVarExc,0.19,capaExcResi,100,expExcFix,0
hydrogen,newYork,vermont,costVarExc,0.18,capaExcResi,100,expExcFix,0
hydrogen,noreste,norte,costVarExc,0.06,capaExcResi,100,expExcFix,0
hydrogen,noreste,occidental,costVarExc,0.19,capaExcResi,100,expExcFix,0
hydrogen,noreste,oriental,costVarExc,0.36,capaExcResi,100,expExcFix,0
