timestep_2,carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2
all,power,massachusetts,newYork,capaExcResiDir,0.65,costExpExc,222.9
all,power,massachusetts,rhodeIsland,capaExcResiDir,1.73,costExpExc,222.9
all,power,massachusetts,vermont,capaExcResiDir,2.13,costExpExc,222.9
all,power,michigan,canada_,capaExcResiDir,1.14,costExpExc,222.9
all,power,michigan,indiana,capaExcResiDir,2.46,costExpExc,222.9
all,power,michigan,ohio,capaExcResiDir,0.39,costExpExc,222.9
all,power,michigan,wisconsin,capaExcResiDir,0.91,costExpExc,222.9
all,power,minnesota,canada_,capaExcResiDir,2.02,costExpExc,222.9
all,power,minnesota,iowa,capaExcResiDir,1.38,costExpExc,222.9
all,power,minnesota,northDakota,capaExcResiDir,2.33,costExpExc,222.9
all,power,minnesota,southDakota,capaExcResiDir,1.23,costExpExc,222.9
all,power,minnesota,wisconsin,capaExcResiDir,1.68,costExpExc,222.9
all,power,mississippi,alabama,capaExcResiDir,4.93,costExpExc,222.9
all,power,mississippi,arkansas,capaExcResiDir,1.66,costExpExc,222.9
all,power,mississippi,louisiana,capaExcResiDir,5.3,costExpExc,222.9
all,power,mississippi,tennessee,capaExcResiDir,2.45,costExpExc,222.9
all,power,missouri,arkansas,capaExcResiDir,3.7,costExpExc,222.9
all,power,missouri,illinois,capaExcResiDir,3.88,costExpExc,222.9
all,power,missouri,iowa,capaExcResiDir,0.86,costExpExc,222.9
all,power,missouri,kansas,capaExcResiDir,2.49,costExpExc,222.9
all,power,missouri,nebraska,capaExcResiDir,1.92,costExpExc,222.9
all,power,missouri,oklahoma,capaExcResiDir,0.04,costExpExc,222.9
all,power,missouri,tennessee,capaExcResiDir,0.45,costExpExc,222.9
all,power,montana,canada_,capaExcResiDir,0.4,costExpExc,222.9
all,power,montana,idaho,capaExcResiDir,4.36,costExpExc,222.9
all,power,montana,northDakota,capaExcResiDir,0.61,costExpExc,222.9
all,power,montana,wyoming,capaExcResiDir,1.46,costExpExc,222.9
all,power,nebraska,iowa,capaExcResiDir,4.4,costExpExc,222.9
all,power,nebraska,kansas,capaExcResiDir,0.95,costExpExc,222.9
all,power,nebraska,missouri,capaExcResiDir,1.92,costExpExc,222.9
all,power,nebraska,southDakota,capaExcResiDir,1.05,costExpExc,222.9
all,power,nebraska,wyoming,capaExcResiDir,0.35,costExpExc,222.9
all,power,nevada,arizona,capaExcResiDir,4.45,costExpExc,222.9
all,power,nevada,california,capaExcResiDir,2.7,costExpExc,222.9
all,power,nevada,idaho,capaExcResiDir,0.86,costExpExc,222.9
all,power,nevada,oregon,capaExcResiDir,0,costExpExc,222.9
all,power,nevada,utah,capaExcResiDir,0.47,costExpExc,222.9
all,power,newHampshire,maine,capaExcResiDir,1.3,costExpExc,222.9
all,power,newHampshire,massachusetts,capaExcResiDir,2.46,costExpExc,222.9
all,power,newHampshire,vermont,capaExcResiDir,1.8,costExpExc,222.9
all,power,newJersey,delaware,capaExcResiDir,4.25,costExpExc,222.9
all,power,newJersey,newYork,capaExcResiDir,1.15,costExpExc,222.9
all,power,newJersey,pennsylvania,capaExcResiDir,8.38,costExpExc,222.9
all,power,newMexico,arizona,capaExcResiDir,6.96,costExpExc,222.9
all,power,newMexico,colorado,capaExcResiDir,0.69,costExpExc,222.9
all,power,newMexico,texas,capaExcResiDir,3.15,costExpExc,222.9
all,power,newMexico,utah,capaExcResiDir,0.3,costExpExc,222.9
all,power,newYork,canada_,capaExcResiDir,3.8,costExpExc,222.9
all,power,newYork,connecticut,capaExcResiDir,1.14,costExpExc,222.9
all,power,newYork,massachusetts,capaExcResiDir,0.65,costExpExc,222.9
all,power,newYork,newJersey,capaExcResiDir,1.15,costExpExc,222.9
all,power,newYork,pennsylvania,capaExcResiDir,0.85,costExpExc,222.9
all,power,newYork,vermont,capaExcResiDir,0.24,costExpExc,222.9
all,power,noreste,norte,capaExcResiDir,2.5,costExpExc,222.9
all,power,noroeste,norte,capaExcResiDir,0.6,costExpExc,222.9
all,power,norte,noreste,capaExcResiDir,1.45,costExpExc,222.9
all,power,norte,noroeste,capaExcResiDir,0.92,costExpExc,222.9
all,power,northCarolina,georgia,capaExcResiDir,0.05,costExpExc,222.9
all,power,northCarolina,southCarolina,capaExcResiDir,8.68,costExpExc,222.9
all,power,northCarolina,tennessee,capaExcResiDir,3.6,costExpExc,222.9
all,power,northCarolina,virginia,capaExcResiDir,5.25,costExpExc,222.9
all,power,northDakota,canada_,capaExcResiDir,0.44,costExpExc,222.9
all,power,northDakota,minnesota,capaExcResiDir,2.33,costExpExc,222.9
all,power,northDakota,montana,capaExcResiDir,0.61,costExpExc,222.9
all,power,northDakota,southDakota,capaExcResiDir,2.26,costExpExc,222.9
all,power,occidental,central,capaExcResiDir,4.2,costExpExc,222.9
all,power,occidental,noreste,capaExcResiDir,2.25,costExpExc,222.9
all,power,occidental,noroeste,capaExcResiDir,1.38,costExpExc,222.9
all,power,occidental,norte,capaExcResiDir,1.56,costExpExc,222.9
all,power,ohio,indiana,capaExcResiDir,7.06,costExpExc,222.9
all,power,ohio,kentucky,capaExcResiDir,0.27,costExpExc,222.9
all,power,ohio,michigan,capaExcResiDir,0.39,costExpExc,222.9
all,power,ohio,pennsylvania,capaExcResiDir,5.75,costExpExc,222.9
all,power,ohio,westVirginia,capaExcResiDir,4.58,costExpExc,222.9
all,power,oklahoma,arkansas,capaExcResiDir,4.21,costExpExc,222.9
all,power,oklahoma,kansas,capaExcResiDir,0.33,costExpExc,222.9
all,power,oklahoma,missouri,capaExcResiDir,0.04,costExpExc,222.9
all,power,oklahoma,texas,capaExcResiDir,4.18,costExpExc,222.9
all,power,oregon,california,capaExcResiDir,7.14,costExpExc,222.9
all,power,oregon,idaho,capaExcResiDir,2.13,costExpExc,222.9
all,power,oregon,nevada,capaExcResiDir,0,costExpExc,222.9
all,power,oregon,washington,capaExcResiDir,16.16,costExpExc,222.9
all,power,oriental,central,capaExcResiDir,7,costExpExc,222.9
all,power,oriental,noreste,capaExcResiDir,1.45,costExpExc,222.9
all,power,oriental,occidental,capaExcResiDir,0.35,costExpExc,222.9
all,power,peninsular,oriental,capaExcResiDir,1.2,costExpExc,222.9
all,power,pennsylvania,delaware,capaExcResiDir,0.98,costExpExc,222.9
all,power,pennsylvania,maryland,capaExcResiDir,6.65,costExpExc,222.9
all,power,pennsylvania,newJersey,capaExcResiDir,8.38,costExpExc,222.9
all,power,pennsylvania,newYork,capaExcResiDir,0.85,costExpExc,222.9
all,power,pennsylvania,ohio,capaExcResiDir,5.75,costExpExc,222.9
all,power,pennsylvania,westVirginia,capaExcResiDir,2.49,costExpExc,222.9
all,power,rhodeIsland,connecticut,capaExcResiDir,1.04,costExpExc,222.9
all,power,rhodeIsland,massachusetts,capaExcResiDir,1.73,costExpExc,222.9
all,power,southCarolina,georgia,capaExcResiDir,3.19,costExpExc,222.9
all,power,southCarolina,northCarolina,capaExcResiDir,8.68,costExpExc,222.9
all,power,southDakota,iowa,capaExcResiDir,1.49,costExpExc,222.9
all,power,southDakota,minnesota,capaExcResiDir,1.23,costExpExc,222.9
all,power,southDakota,nebraska,capaExcResiDir,1.05,costExpExc,222.9
all,power,southDakota,northDakota,capaExcResiDir,2.26,costExpExc,222.9
all,power,southDakota,wyoming,capaExcResiDir,2.49,costExpExc,222.9
all,power,tennessee,alabama,capaExcResiDir,1.35,costExpExc,222.9
all,power,tennessee,arkansas,capaExcResiDir,1.02,costExpExc,222.9
all,power,tennessee,georgia,capaExcResiDir,0.72,costExpExc,222.9
all,power,tennessee,kentucky,capaExcResiDir,8.35,costExpExc,222.9
all,power,tennessee,mississippi,capaExcResiDir,2.45,costExpExc,222.9
all,power,tennessee,missouri,capaExcResiDir,0.45,costExpExc,222.9
all,power,tennessee,northCarolina,capaExcResiDir,3.6,costExpExc,222.9
all,power,tennessee,virginia,capaExcResiDir,0.13,costExpExc,222.9
all,power,texas,arkansas,capaExcResiDir,0.32,costExpExc,222.9
all,power,texas,louisiana,capaExcResiDir,5.42,costExpExc,222.9
all,power,texas,newMexico,capaExcResiDir,3.15,costExpExc,222.9
all,power,texas,oklahoma,capaExcResiDir,4.18,costExpExc,222.9
all,power,utah,arizona,capaExcResiDir,0.14,costExpExc,222.9
all,power,utah,california,capaExcResiDir,1.92,costExpExc,222.9
all,power,utah,colorado,capaExcResiDir,0.24,costExpExc,222.9
all,power,utah,idaho,capaExcResiDir,1.47,costExpExc,222.9
all,power,utah,nevada,capaExcResiDir,0.47,costExpExc,222.9
all,power,utah,newMexico,capaExcResiDir,0.3,costExpExc,222.9
all,power,utah,wyoming,capaExcResiDir,1.91,costExpExc,222.9
all,power,vermont,canada_,capaExcResiDir,7,costExpExc,222.9
all,power,vermont,massachusetts,capaExcResiDir,2.13,costExpExc,222.9
all,power,vermont,newHampshire,capaExcResiDir,1.8,costExpExc,222.9
all,power,vermont,newYork,capaExcResiDir,0.24,costExpExc,222.9
all,power,virginia,kentucky,capaExcResiDir,0.4,costExpExc,222.9
all,power,virginia,maryland,capaExcResiDir,4.7,costExpExc,222.9
all,power,virginia,northCarolina,capaExcResiDir,5.25,costExpExc,222.9
all,power,virginia,tennessee,capaExcResiDir,0.13,costExpExc,222.9
all,power,virginia,westVirginia,capaExcResiDir,11.27,costExpExc,222.9
all,power,washington,canada_,capaExcResiDir,2.3,costExpExc,222.9
all,power,washington,idaho,capaExcResiDir,13.57,costExpExc,222.9
all,power,washington,oregon,capaExcResiDir,16.16,costExpExc,222.9
all,power,westVirginia,kentucky,capaExcResiDir,3,costExpExc,222.9
all,power,westVirginia,maryland,capaExcResiDir,3.08,costExpExc,222.9
all,power,westVirginia,ohio,capaExcResiDir,4.58,costExpExc,222.9
all,power,westVirginia,pennsylvania,capaExcResiDir,2.49,costExpExc,222.9
all,power,westVirginia,virginia,capaExcResiDir,11.27,costExpExc,222.9
all,power,wisconsin,illinois,capaExcResiDir,1.73,costExpExc,222.9
all,power,wisconsin,iowa,capaExcResiDir,0.11,costExpExc,222.9
all,power,wisconsin,michigan,capaExcResiDir,0.91,costExpExc,222.9
all,power,wisconsin,minnesota,capaExcResiDir,1.68,costExpExc,222.9
all,power,wyoming,colorado,capaExcResiDir,3.32,costExpExc,222.9
all,power,wyoming,idaho,capaExcResiDir,3.7,costExpExc,222.9
all,power,wyoming,montana,capaExcResiDir,1.46,costExpExc,222.9
all,power,wyoming,nebraska,capaExcResiDir,0.35,costExpExc,222.9
all,power,wyoming,southDakota,capaExcResiDir,2.49,costExpExc,222.9
all,power,wyoming,utah,capaExcResiDir,1.91,costExpExc,222.9
all,power,arizona,colorado,capaExcResi,0,costExpExc,222.9
all,power,bajaCalifornia,bajaCaliforniaSur,capaExcResi,0,costExpExc,222.9
all,power,bajaCalifornia,noroeste,capaExcResi,0,costExpExc,222.9
all,power,bajaCaliforniaSur,bajaCalifornia,capaExcResi,0,costExpExc,222.9
all,power,bajaCaliforniaSur,noroeste,capaExcResi,0,costExpExc,222.9
all,power,canada_,idaho,capaExcResi,0,costExpExc,222.9
all,power,canada_,newHampshire,capaExcResi,0,costExpExc,222.9
all,power,canada_,ohio,capaExcResi,0,costExpExc,222.9
all,power,canada_,wisconsin,capaExcResi,0,costExpExc,222.9
all,power,colorado,arizona,capaExcResi,0,costExpExc,222.9
all,power,colorado,nebraska,capaExcResi,0,costExpExc,222.9
all,power,colorado,oklahoma,capaExcResi,0,costExpExc,222.9
all,power,idaho,canada_,capaExcResi,0,costExpExc,222.9
all,power,illinois,michigan,capaExcResi,0,costExpExc,222.9
all,power,kentucky,missouri,capaExcResi,0,costExpExc,222.9
all,power,michigan,illinois,capaExcResi,0,costExpExc,222.9
all,power,missouri,kentucky,capaExcResi,0,costExpExc,222.9
