region_1,region_2,technology_1,technology_2,timestep_3,parameter,value
usa,northDakota,res,wind,q4p,avaConv,0.27109478
usa,northDakota,res,wind,q4a,avaConv,0.368169118
usa,southDakota,res,wind,q1n,avaConv,0.310533333
usa,southDakota,res,wind,q1m,avaConv,0.185137037
usa,southDakota,res,wind,q1p,avaConv,0.256402778
usa,southDakota,res,wind,q1a,avaConv,0.355352778
usa,southDakota,res,wind,q2n,avaConv,0.2311644
usa,southDakota,res,wind,q2m,avaConv,0.102166667
usa,southDakota,res,wind,q2p,avaConv,0.131391667
usa,southDakota,res,wind,q2a,avaConv,0.243537396
usa,southDakota,res,wind,q3n,avaConv,0.260647131
usa,southDakota,res,wind,q3m,avaConv,0.17185348
usa,southDakota,res,wind,q3p,avaConv,0.214016484
usa,southDakota,res,wind,q3a,avaConv,0.285596154
usa,southDakota,res,wind,q4n,avaConv,0.31313831
usa,southDakota,res,wind,q4m,avaConv,0.211032967
usa,southDakota,res,wind,q4p,avaConv,0.27109478
usa,southDakota,res,wind,q4a,avaConv,0.368169118
usa,nebraska,res,wind,q1n,avaConv,0.310533333
usa,nebraska,res,wind,q1m,avaConv,0.185137037
usa,nebraska,res,wind,q1p,avaConv,0.256402778
usa,nebraska,res,wind,q1a,avaConv,0.355352778
usa,nebraska,res,wind,q2n,avaConv,0.2311644
usa,nebraska,res,wind,q2m,avaConv,0.102166667
usa,nebraska,res,wind,q2p,avaConv,0.131391667
usa,nebraska,res,wind,q2a,avaConv,0.243537396
usa,nebraska,res,wind,q3n,avaConv,0.260647131
usa,nebraska,res,wind,q3m,avaConv,0.17185348
usa,nebraska,res,wind,q3p,avaConv,0.214016484
usa,nebraska,res,wind,q3a,avaConv,0.285596154
usa,nebraska,res,wind,q4n,avaConv,0.31313831
usa,nebraska,res,wind,q4m,avaConv,0.211032967
usa,nebraska,res,wind,q4p,avaConv,0.27109478
usa,nebraska,res,wind,q4a,avaConv,0.368169118
usa,kansas,res,wind,q1n,avaConv,0.310533333
usa,kansas,res,wind,q1m,avaConv,0.185137037
usa,kansas,res,wind,q1p,avaConv,0.256402778
usa,kansas,res,wind,q1a,avaConv,0.355352778
usa,kansas,res,wind,q2n,avaConv,0.2311644
usa,kansas,res,wind,q2m,avaConv,0.102166667
usa,kansas,res,wind,q2p,avaConv,0.131391667
usa,kansas,res,wind,q2a,avaConv,0.243537396
usa,kansas,res,wind,q3n,avaConv,0.260647131
usa,kansas,res,wind,q3m,avaConv,0.17185348
usa,kansas,res,wind,q3p,avaConv,0.214016484
usa,kansas,res,wind,q3a,avaConv,0.285596154
usa,kansas,res,wind,q4n,avaConv,0.31313831
usa,kansas,res,wind,q4m,avaConv,0.211032967
usa,kansas,res,wind,q4p,avaConv,0.27109478
usa,kansas,res,wind,q4a,avaConv,0.368169118
usa,oklahoma,res,wind,q1n,avaConv,0.310533333
usa,oklahoma,res,wind,q1m,avaConv,0.185137037
usa,oklahoma,res,wind,q1p,avaConv,0.256402778
usa,oklahoma,res,wind,q1a,avaConv,0.355352778
usa,oklahoma,res,wind,q2n,avaConv,0.2311644
usa,oklahoma,res,wind,q2m,avaConv,0.102166667
usa,oklahoma,res,wind,q2p,avaConv,0.131391667
usa,oklahoma,res,wind,q2a,avaConv,0.243537396
usa,oklahoma,res,wind,q3n,avaConv,0.260647131
usa,oklahoma,res,wind,q3m,avaConv,0.17185348
usa,oklahoma,res,wind,q3p,avaConv,0.214016484
usa,oklahoma,res,wind,q3a,avaConv,0.285596154
usa,oklahoma,res,wind,q4n,avaConv,0.31313831
usa,oklahoma,res,wind,q4m,avaConv,0.211032967
usa,oklahoma,res,wind,q4p,avaConv,0.27109478
usa,oklahoma,res,wind,q4a,avaConv,0.368169118
usa,texas,res,wind,q1n,avaConv,0.310533333
usa,texas,res,wind,q1m,avaConv,0.185137037
usa,texas,res,wind,q1p,avaConv,0.256402778
usa,texas,res,wind,q1a,avaConv,0.355352778
usa,texas,res,wind,q2n,avaConv,0.2311644
usa,texas,res,wind,q2m,avaConv,0.102166667
usa,texas,res,wind,q2p,avaConv,0.131391667
usa,texas,res,wind,q2a,avaConv,0.243537396
usa,texas,res,wind,q3n,avaConv,0.260647131
usa,texas,res,wind,q3m,avaConv,0.17185348
usa,texas,res,wind,q3p,avaConv,0.214016484
usa,texas,res,wind,q3a,avaConv,0.285596154
usa,texas,res,wind,q4n,avaConv,0.31313831
usa,texas,res,wind,q4m,avaConv,0.211032967
usa,texas,res,wind,q4p,avaConv,0.27109478
usa,texas,res,wind,q4a,avaConv,0.368169118
usa,minnesota,res,wind,q1n,avaConv,0.310533333
usa,minnesota,res,wind,q1m,avaConv,0.185137037
usa,minnesota,res,wind,q1p,avaConv,0.256402778
usa,minnesota,res,wind,q1a,avaConv,0.355352778
usa,minnesota,res,wind,q2n,avaConv,0.2311644
usa,minnesota,res,wind,q2m,avaConv,0.102166667
usa,minnesota,res,wind,q2p,avaConv,0.131391667
usa,minnesota,res,wind,q2a,avaConv,0.243537396
usa,minnesota,res,wind,q3n,avaConv,0.260647131
usa,minnesota,res,wind,q3m,avaConv,0.17185348
usa,minnesota,res,wind,q3p,avaConv,0.214016484
usa,minnesota,res,wind,q3a,avaConv,0.285596154
usa,minnesota,res,wind,q4n,avaConv,0.31313831
usa,minnesota,res,wind,q4m,avaConv,0.211032967
usa,minnesota,res,wind,q4p,avaConv,0.27109478
usa,minnesota,res,wind,q4a,avaConv,0.368169118
usa,wisconsin,res,wind,q1n,avaConv,0.310533333
usa,wisconsin,res,wind,q1m,avaConv,0.185137037
usa,wisconsin,res,wind,q1p,avaConv,0.256402778
usa,wisconsin,res,wind,q1a,avaConv,0.355352778
usa,wisconsin,res,wind,q2n,avaConv,0.2311644
usa,wisconsin,res,wind,q2m,avaConv,0.102166667
usa,wisconsin,res,wind,q2p,avaConv,0.131391667
usa,wisconsin,res,wind,q2a,avaConv,0.243537396
usa,wisconsin,res,wind,q3n,avaConv,0.260647131
usa,wisconsin,res,wind,q3m,avaConv,0.17185348
usa,wisconsin,res,wind,q3p,avaConv,0.214016484
usa,wisconsin,res,wind,q3a,avaConv,0.285596154
usa,wisconsin,res,wind,q4n,avaConv,0.31313831
usa,wisconsin,res,wind,q4m,avaConv,0.211032967
usa,wisconsin,res,wind,q4p,avaConv,0.27109478
usa,wisconsin,res,wind,q4a,avaConv,0.368169118
usa,iowa,res,wind,q1n,avaConv,0.310533333
usa,iowa,res,wind,q1m,avaConv,0.185137037
usa,iowa,res,wind,q1p,avaConv,0.256402778
usa,iowa,res,wind,q1a,avaConv,0.355352778
usa,iowa,res,wind,q2n,avaConv,0.2311644
usa,iowa,res,wind,q2m,avaConv,0.102166667
usa,iowa,res,wind,q2p,avaConv,0.131391667
usa,iowa,res,wind,q2a,avaConv,0.243537396
usa,iowa,res,wind,q3n,avaConv,0.260647131
usa,iowa,res,wind,q3m,avaConv,0.17185348
usa,iowa,res,wind,q3p,avaConv,0.214016484
usa,iowa,res,wind,q3a,avaConv,0.285596154
usa,iowa,res,wind,q4n,avaConv,0.31313831
usa,iowa,res,wind,q4m,avaConv,0.211032967
usa,iowa,res,wind,q4p,avaConv,0.27109478
usa,iowa,res,wind,q4a,avaConv,0.368169118
usa,missouri,res,wind,q1n,avaConv,0.310533333
usa,missouri,res,wind,q1m,avaConv,0.185137037
usa,missouri,res,wind,q1p,avaConv,0.256402778
usa,missouri,res,wind,q1a,avaConv,0.355352778
usa,missouri,res,wind,q2n,avaConv,0.2311644
usa,missouri,res,wind,q2m,avaConv,0.102166667
usa,missouri,res,wind,q2p,avaConv,0.131391667
usa,missouri,res,wind,q2a,avaConv,0.243537396
usa,missouri,res,wind,q3n,avaConv,0.260647131
usa,missouri,res,wind,q3m,avaConv,0.17185348
usa,missouri,res,wind,q3p,avaConv,0.214016484
usa,missouri,res,wind,q3a,avaConv,0.285596154
usa,missouri,res,wind,q4n,avaConv,0.31313831
usa,missouri,res,wind,q4m,avaConv,0.211032967
usa,missouri,res,wind,q4p,avaConv,0.27109478
usa,missouri,res,wind,q4a,avaConv,0.368169118
usa,illinois,res,wind,q1n,avaConv,0.310533333
usa,illinois,res,wind,q1m,avaConv,0.185137037
usa,illinois,res,wind,q1p,avaConv,0.256402778
usa,illinois,res,wind,q1a,avaConv,0.355352778
usa,illinois,res,wind,q2n,avaConv,0.2311644
usa,illinois,res,wind,q2m,avaConv,0.102166667
usa,illinois,res,wind,q2p,avaConv,0.131391667
usa,illinois,res,wind,q2a,avaConv,0.243537396
usa,illinois,res,wind,q3n,avaConv,0.260647131
usa,illinois,res,wind,q3m,avaConv,0.17185348
usa,illinois,res,wind,q3p,avaConv,0.214016484
usa,illinois,res,wind,q3a,avaConv,0.285596154
usa,illinois,res,wind,q4n,avaConv,0.31313831
usa,illinois,res,wind,q4m,avaConv,0.211032967
usa,illinois,res,wind,q4p,avaConv,0.27109478
usa,illinois,res,wind,q4a,avaConv,0.368169118
usa,indiana,res,wind,q1n,avaConv,0.310533333
usa,indiana,res,wind,q1m,avaConv,0.185137037
usa,indiana,res,wind,q1p,avaConv,0.256402778
usa,indiana,res,wind,q1a,avaConv,0.355352778
usa,indiana,res,wind,q2n,avaConv,0.2311644
usa,indiana,res,wind,q2m,avaConv,0.102166667
usa,indiana,res,wind,q2p,avaConv,0.131391667
usa,indiana,res,wind,q2a,avaConv,0.243537396
usa,indiana,res,wind,q3n,avaConv,0.260647131
usa,indiana,res,wind,q3m,avaConv,0.17185348
usa,indiana,res,wind,q3p,avaConv,0.214016484
usa,indiana,res,wind,q3a,avaConv,0.285596154
usa,indiana,res,wind,q4n,avaConv,0.31313831
usa,indiana,res,wind,q4m,avaConv,0.211032967
usa,indiana,res,wind,q4p,avaConv,0.27109478
usa,indiana,res,wind,q4a,avaConv,0.368169118
usa,michigan,res,wind,q1n,avaConv,0.310533333
usa,michigan,res,wind,q1m,avaConv,0.185137037
usa,michigan,res,wind,q1p,avaConv,0.256402778
usa,michigan,res,wind,q1a,avaConv,0.355352778
usa,michigan,res,wind,q2n,avaConv,0.2311644
usa,michigan,res,wind,q2m,avaConv,0.102166667
usa,michigan,res,wind,q2p,avaConv,0.131391667
usa,michigan,res,wind,q2a,avaConv,0.243537396
usa,michigan,res,wind,q3n,avaConv,0.260647131
usa,michigan,res,wind,q3m,avaConv,0.17185348
usa,michigan,res,wind,q3p,avaConv,0.214016484
usa,michigan,res,wind,q3a,avaConv,0.285596154
usa,michigan,res,wind,q4n,avaConv,0.31313831
usa,michigan,res,wind,q4m,avaConv,0.211032967
usa,michigan,res,wind,q4p,avaConv,0.27109478
usa,michigan,res,wind,q4a,avaConv,0.368169118
usa,ohio,res,wind,q1n,avaConv,0.310533333
usa,ohio,res,wind,q1m,avaConv,0.185137037
usa,ohio,res,wind,q1p,avaConv,0.256402778
usa,ohio,res,wind,q1a,avaConv,0.355352778
usa,ohio,res,wind,q2n,avaConv,0.2311644
usa,ohio,res,wind,q2m,avaConv,0.102166667
usa,ohio,res,wind,q2p,avaConv,0.131391667
usa,ohio,res,wind,q2a,avaConv,0.243537396
usa,ohio,res,wind,q3n,avaConv,0.260647131
usa,ohio,res,wind,q3m,avaConv,0.17185348
usa,ohio,res,wind,q3p,avaConv,0.214016484
usa,ohio,res,wind,q3a,avaConv,0.285596154
usa,ohio,res,wind,q4n,avaConv,0.31313831
usa,ohio,res,wind,q4m,avaConv,0.211032967
usa,ohio,res,wind,q4p,avaConv,0.27109478
usa,ohio,res,wind,q4a,avaConv,0.368169118
usa,arkansas,res,wind,q1n,avaConv,0.310533333
usa,arkansas,res,wind,q1m,avaConv,0.185137037
usa,arkansas,res,wind,q1p,avaConv,0.256402778
usa,arkansas,res,wind,q1a,avaConv,0.355352778
usa,arkansas,res,wind,q2n,avaConv,0.2311644
usa,arkansas,res,wind,q2m,avaConv,0.102166667
usa,arkansas,res,wind,q2p,avaConv,0.131391667
usa,arkansas,res,wind,q2a,avaConv,0.243537396
usa,arkansas,res,wind,q3n,avaConv,0.260647131
usa,arkansas,res,wind,q3m,avaConv,0.17185348
usa,arkansas,res,wind,q3p,avaConv,0.214016484
usa,arkansas,res,wind,q3a,avaConv,0.285596154
usa,arkansas,res,wind,q4n,avaConv,0.31313831
usa,arkansas,res,wind,q4m,avaConv,0.211032967
usa,arkansas,res,wind,q4p,avaConv,0.27109478
usa,arkansas,res,wind,q4a,avaConv,0.368169118
usa,louisiana,res,wind,q1n,avaConv,0.310533333
usa,louisiana,res,wind,q1m,avaConv,0.185137037
usa,louisiana,res,wind,q1p,avaConv,0.256402778
usa,louisiana,res,wind,q1a,avaConv,0.355352778
usa,louisiana,res,wind,q2n,avaConv,0.2311644
usa,louisiana,res,wind,q2m,avaConv,0.102166667
usa,louisiana,res,wind,q2p,avaConv,0.131391667
usa,louisiana,res,wind,q2a,avaConv,0.243537396
usa,louisiana,res,wind,q3n,avaConv,0.260647131
usa,louisiana,res,wind,q3m,avaConv,0.17185348
usa,louisiana,res,wind,q3p,avaConv,0.214016484
usa,louisiana,res,wind,q3a,avaConv,0.285596154
usa,louisiana,res,wind,q4n,avaConv,0.31313831
usa,louisiana,res,wind,q4m,avaConv,0.211032967
usa,louisiana,res,wind,q4p,avaConv,0.27109478
usa,louisiana,res,wind,q4a,avaConv,0.368169118
usa,mississippi,res,wind,q1n,avaConv,0.310533333
usa,mississippi,res,wind,q1m,avaConv,0.185137037
usa,mississippi,res,wind,q1p,avaConv,0.256402778
usa,mississippi,res,wind,q1a,avaConv,0.355352778
usa,mississippi,res,wind,q2n,avaConv,0.2311644
usa,mississippi,res,wind,q2m,avaConv,0.102166667
usa,mississippi,res,wind,q2p,avaConv,0.131391667
usa,mississippi,res,wind,q2a,avaConv,0.243537396
usa,mississippi,res,wind,q3n,avaConv,0.260647131
usa,mississippi,res,wind,q3m,avaConv,0.17185348
usa,mississippi,res,wind,q3p,avaConv,0.214016484
usa,mississippi,res,wind,q3a,avaConv,0.285596154
usa,mississippi,res,wind,q4n,avaConv,0.31313831
usa,mississippi,res,wind,q4m,avaConv,0.211032967
usa,mississippi,res,wind,q4p,avaConv,0.27109478
usa,mississippi,res,wind,q4a,avaConv,0.368169118
usa,tennessee,res,wind,q1n,avaConv,0.310533333
usa,tennessee,res,wind,q1m,avaConv,0.185137037
usa,tennessee,res,wind,q1p,avaConv,0.256402778
usa,tennessee,res,wind,q1a,avaConv,0.355352778
usa,tennessee,res,wind,q2n,avaConv,0.2311644
usa,tennessee,res,wind,q2m,avaConv,0.102166667
usa,tennessee,res,wind,q2p,avaConv,0.131391667
usa,tennessee,res,wind,q2a,avaConv,0.243537396
usa,tennessee,res,wind,q3n,avaConv,0.260647131
usa,tennessee,res,wind,q3m,avaConv,0.17185348
usa,tennessee,res,wind,q3p,avaConv,0.214016484
usa,tennessee,res,wind,q3a,avaConv,0.285596154
usa,tennessee,res,wind,q4n,avaConv,0.31313831
usa,tennessee,res,wind,q4m,avaConv,0.211032967
usa,tennessee,res,wind,q4p,avaConv,0.27109478
usa,tennessee,res,wind,q4a,avaConv,0.368169118
usa,kentucky,res,wind,q1n,avaConv,0.310533333
usa,kentucky,res,wind,q1m,avaConv,0.185137037
usa,kentucky,res,wind,q1p,avaConv,0.256402778
usa,kentucky,res,wind,q1a,avaConv,0.355352778
usa,kentucky,res,wind,q2n,avaConv,0.2311644
usa,kentucky,res,wind,q2m,avaConv,0.102166667
usa,kentucky,res,wind,q2p,avaConv,0.131391667
usa,kentucky,res,wind,q2a,avaConv,0.243537396
usa,kentucky,res,wind,q3n,avaConv,0.260647131
usa,kentucky,res,wind,q3m,avaConv,0.17185348
usa,kentucky,res,wind,q3p,avaConv,0.214016484
usa,kentucky,res,wind,q3a,avaConv,0.285596154
usa,kentucky,res,wind,q4n,avaConv,0.31313831
usa,kentucky,res,wind,q4m,avaConv,0.211032967
usa,kentucky,res,wind,q4p,avaConv,0.27109478
usa,kentucky,res,wind,q4a,avaConv,0.368169118
usa,georgia,res,wind,q1n,avaConv,0.310533333
usa,georgia,res,wind,q1m,avaConv,0.185137037
usa,georgia,res,wind,q1p,avaConv,0.256402778
usa,georgia,res,wind,q1a,avaConv,0.355352778
usa,georgia,res,wind,q2n,avaConv,0.2311644
usa,georgia,res,wind,q2m,avaConv,0.102166667
usa,georgia,res,wind,q2p,avaConv,0.131391667
usa,georgia,res,wind,q2a,avaConv,0.243537396
usa,georgia,res,wind,q3n,avaConv,0.260647131
usa,georgia,res,wind,q3m,avaConv,0.17185348
usa,georgia,res,wind,q3p,avaConv,0.214016484
usa,georgia,res,wind,q3a,avaConv,0.285596154
usa,georgia,res,wind,q4n,avaConv,0.31313831
usa,georgia,res,wind,q4m,avaConv,0.211032967
usa,georgia,res,wind,q4p,avaConv,0.27109478
usa,georgia,res,wind,q4a,avaConv,0.368169118
usa,florida,res,wind,q1n,avaConv,0.310533333
usa,florida,res,wind,q1m,avaConv,0.185137037
usa,florida,res,wind,q1p,avaConv,0.256402778
usa,florida,res,wind,q1a,avaConv,0.355352778
usa,florida,res,wind,q2n,avaConv,0.2311644
usa,florida,res,wind,q2m,avaConv,0.102166667
usa,florida,res,wind,q2p,avaConv,0.131391667
usa,florida,res,wind,q2a,avaConv,0.243537396
usa,florida,res,wind,q3n,avaConv,0.260647131
usa,florida,res,wind,q3m,avaConv,0.17185348
usa,florida,res,wind,q3p,avaConv,0.214016484
usa,florida,res,wind,q3a,avaConv,0.285596154
usa,florida,res,wind,q4n,avaConv,0.31313831
usa,florida,res,wind,q4m,avaConv,0.211032967
usa,florida,res,wind,q4p,avaConv,0.27109478
usa,florida,res,wind,q4a,avaConv,0.368169118
usa,southCarolina,res,wind,q1n,avaConv,0.310533333
usa,southCarolina,res,wind,q1m,avaConv,0.185137037
usa,southCarolina,res,wind,q1p,avaConv,0.256402778
usa,southCarolina,res,wind,q1a,avaConv,0.355352778
usa,southCarolina,res,wind,q2n,avaConv,0.2311644
usa,southCarolina,res,wind,q2m,avaConv,0.102166667
usa,southCarolina,res,wind,q2p,avaConv,0.131391667
usa,southCarolina,res,wind,q2a,avaConv,0.243537396
usa,southCarolina,res,wind,q3n,avaConv,0.260647131
usa,southCarolina,res,wind,q3m,avaConv,0.17185348
usa,southCarolina,res,wind,q3p,avaConv,0.214016484
usa,southCarolina,res,wind,q3a,avaConv,0.285596154
usa,southCarolina,res,wind,q4n,avaConv,0.31313831
usa,southCarolina,res,wind,q4m,avaConv,0.211032967
usa,southCarolina,res,wind,q4p,avaConv,0.27109478
usa,southCarolina,res,wind,q4a,avaConv,0.368169118
usa,northCarolina,res,wind,q1n,avaConv,0.310533333
usa,northCarolina,res,wind,q1m,avaConv,0.185137037
usa,northCarolina,res,wind,q1p,avaConv,0.256402778
usa,northCarolina,res,wind,q1a,avaConv,0.355352778
usa,northCarolina,res,wind,q2n,avaConv,0.2311644
usa,northCarolina,res,wind,q2m,avaConv,0.102166667
usa,northCarolina,res,wind,q2p,avaConv,0.131391667
usa,northCarolina,res,wind,q2a,avaConv,0.243537396
usa,northCarolina,res,wind,q3n,avaConv,0.260647131
usa,northCarolina,res,wind,q3m,avaConv,0.17185348
usa,northCarolina,res,wind,q3p,avaConv,0.214016484
usa,northCarolina,res,wind,q3a,avaConv,0.285596154
usa,northCarolina,res,wind,q4n,avaConv,0.31313831
usa,northCarolina,res,wind,q4m,avaConv,0.211032967
usa,northCarolina,res,wind,q4p,avaConv,0.27109478
usa,northCarolina,res,wind,q4a,avaConv,0.368169118
usa,virginia,res,wind,q1n,avaConv,0.310533333
usa,virginia,res,wind,q1m,avaConv,0.185137037
usa,virginia,res,wind,q1p,avaConv,0.256402778
usa,virginia,res,wind,q1a,avaConv,0.355352778
usa,virginia,res,wind,q2n,avaConv,0.2311644
usa,virginia,res,wind,q2m,avaConv,0.102166667
usa,virginia,res,wind,q2p,avaConv,0.131391667
usa,virginia,res,wind,q2a,avaConv,0.243537396
usa,virginia,res,wind,q3n,avaConv,0.260647131
usa,virginia,res,wind,q3m,avaConv,0.17185348
usa,virginia,res,wind,q3p,avaConv,0.214016484
usa,virginia,res,wind,q3a,avaConv,0.285596154
usa,virginia,res,wind,q4n,avaConv,0.31313831
usa,virginia,res,wind,q4m,avaConv,0.211032967
usa,virginia,res,wind,q4p,avaConv,0.27109478
usa,virginia,res,wind,q4a,avaConv,0.368169118
usa,westVirginia,res,wind,q1n,avaConv,0.310533333
usa,westVirginia,res,wind,q1m,avaConv,0.185137037
usa,westVirginia,res,wind,q1p,avaConv,0.256402778
usa,westVirginia,res,wind,q1a,avaConv,0.355352778
usa,westVirginia,res,wind,q2n,avaConv,0.2311644
usa,westVirginia,res,wind,q2m,avaConv,0.102166667
usa,westVirginia,res,wind,q2p,avaConv,0.131391667
usa,westVirginia,res,wind,q2a,avaConv,0.243537396
usa,westVirginia,res,wind,q3n,avaConv,0.260647131
usa,westVirginia,res,wind,q3m,avaConv,0.17185348
usa,westVirginia,res,wind,q3p,avaConv,0.214016484
usa,westVirginia,res,wind,q3a,avaConv,0.285596154
usa,westVirginia,res,wind,q4n,avaConv,0.31313831
usa,westVirginia,res,wind,q4m,avaConv,0.211032967
usa,westVirginia,res,wind,q4p,avaConv,0.27109478
usa,westVirginia,res,wind,q4a,avaConv,0.368169118
usa,delaware,res,wind,q1n,avaConv,0.310533333
usa,delaware,res,wind,q1m,avaConv,0.185137037
usa,delaware,res,wind,q1p,avaConv,0.256402778
usa,delaware,res,wind,q1a,avaConv,0.355352778
usa,delaware,res,wind,q2n,avaConv,0.2311644
usa,delaware,res,wind,q2m,avaConv,0.102166667
usa,delaware,res,wind,q2p,avaConv,0.131391667
usa,delaware,res,wind,q2a,avaConv,0.243537396
usa,delaware,res,wind,q3n,avaConv,0.260647131
usa,delaware,res,wind,q3m,avaConv,0.17185348
usa,delaware,res,wind,q3p,avaConv,0.214016484
usa,delaware,res,wind,q3a,avaConv,0.285596154
usa,delaware,res,wind,q4n,avaConv,0.31313831
usa,delaware,res,wind,q4m,avaConv,0.211032967
usa,delaware,res,wind,q4p,avaConv,0.27109478
usa,delaware,res,wind,q4a,avaConv,0.368169118
usa,newJersey,res,wind,q1n,avaConv,0.310533333
usa,newJersey,res,wind,q1m,avaConv,0.185137037
usa,newJersey,res,wind,q1p,avaConv,0.256402778
usa,newJersey,res,wind,q1a,avaConv,0.355352778
usa,newJersey,res,wind,q2n,avaConv,0.2311644
usa,newJersey,res,wind,q2m,avaConv,0.102166667
usa,newJersey,res,wind,q2p,avaConv,0.131391667
usa,newJersey,res,wind,q2a,avaConv,0.243537396
usa,newJersey,res,wind,q3n,avaConv,0.260647131
usa,newJersey,res,wind,q3m,avaConv,0.17185348
usa,newJersey,res,wind,q3p,avaConv,0.214016484
usa,newJersey,res,wind,q3a,avaConv,0.285596154
usa,newJersey,res,wind,q4n,avaConv,0.31313831
usa,newJersey,res,wind,q4m,avaConv,0.211032967
usa,newJersey,res,wind,q4p,avaConv,0.27109478
usa,newJersey,res,wind,q4a,avaConv,0.368169118
usa,pennsylvania,res,wind,q1n,avaConv,0.310533333
usa,pennsylvania,res,wind,q1m,avaConv,0.185137037
usa,pennsylvania,res,wind,q1p,avaConv,0.256402778
usa,pennsylvania,res,wind,q1a,avaConv,0.355352778
usa,pennsylvania,res,wind,q2n,avaConv,0.2311644
usa,pennsylvania,res,wind,q2m,avaConv,0.102166667
usa,pennsylvania,res,wind,q2p,avaConv,0.131391667
usa,pennsylvania,res,wind,q2a,avaConv,0.243537396
usa,pennsylvania,res,wind,q3n,avaConv,0.260647131
usa,pennsylvania,res,wind,q3m,avaConv,0.17185348
usa,pennsylvania,res,wind,q3p,avaConv,0.214016484
usa,pennsylvania,res,wind,q3a,avaConv,0.285596154
usa,pennsylvania,res,wind,q4n,avaConv,0.31313831
usa,pennsylvania,res,wind,q4m,avaConv,0.211032967
usa,pennsylvania,res,wind,q4p,avaConv,0.27109478
usa,pennsylvania,res,wind,q4a,avaConv,0.368169118
usa,newYork,res,wind,q1n,avaConv,0.310533333
usa,newYork,res,wind,q1m,avaConv,0.185137037
usa,newYork,res,wind,q1p,avaConv,0.256402778
usa,newYork,res,wind,q1a,avaConv,0.355352778
usa,newYork,res,wind,q2n,avaConv,0.2311644
usa,newYork,res,wind,q2m,avaConv,0.102166667
usa,newYork,res,wind,q2p,avaConv,0.131391667
usa,newYork,res,wind,q2a,avaConv,0.243537396
usa,newYork,res,wind,q3n,avaConv,0.260647131
usa,newYork,res,wind,q3m,avaConv,0.17185348
usa,newYork,res,wind,q3p,avaConv,0.214016484
usa,newYork,res,wind,q3a,avaConv,0.285596154
usa,newYork,res,wind,q4n,avaConv,0.31313831
usa,newYork,res,wind,q4m,avaConv,0.211032967
usa,newYork,res,wind,q4p,avaConv,0.27109478
usa,newYork,res,wind,q4a,avaConv,0.368169118
usa,connecticut,res,wind,q1n,avaConv,0.310533333
usa,connecticut,res,wind,q1m,avaConv,0.185137037
usa,connecticut,res,wind,q1p,avaConv,0.256402778
usa,connecticut,res,wind,q1a,avaConv,0.355352778
usa,connecticut,res,wind,q2n,avaConv,0.2311644
usa,connecticut,res,wind,q2m,avaConv,0.102166667
usa,connecticut,res,wind,q2p,avaConv,0.131391667
usa,connecticut,res,wind,q2a,avaConv,0.243537396
usa,connecticut,res,wind,q3n,avaConv,0.260647131
usa,connecticut,res,wind,q3m,avaConv,0.17185348
usa,connecticut,res,wind,q3p,avaConv,0.214016484
usa,connecticut,res,wind,q3a,avaConv,0.285596154
usa,connecticut,res,wind,q4n,avaConv,0.31313831
usa,connecticut,res,wind,q4m,avaConv,0.211032967
usa,connecticut,res,wind,q4p,avaConv,0.27109478
usa,connecticut,res,wind,q4a,avaConv,0.368169118
usa,massachusetts,res,wind,q1n,avaConv,0.310533333
usa,massachusetts,res,wind,q1m,avaConv,0.185137037
usa,massachusetts,res,wind,q1p,avaConv,0.256402778
usa,massachusetts,res,wind,q1a,avaConv,0.355352778
usa,massachusetts,res,wind,q2n,avaConv,0.2311644
usa,massachusetts,res,wind,q2m,avaConv,0.102166667
usa,massachusetts,res,wind,q2p,avaConv,0.131391667
usa,massachusetts,res,wind,q2a,avaConv,0.243537396
usa,massachusetts,res,wind,q3n,avaConv,0.260647131
usa,massachusetts,res,wind,q3m,avaConv,0.17185348
usa,massachusetts,res,wind,q3p,avaConv,0.214016484
usa,massachusetts,res,wind,q3a,avaConv,0.285596154
usa,massachusetts,res,wind,q4n,avaConv,0.31313831
usa,massachusetts,res,wind,q4m,avaConv,0.211032967
usa,massachusetts,res,wind,q4p,avaConv,0.27109478
usa,massachusetts,res,wind,q4a,avaConv,0.368169118
usa,newHampshire,res,wind,q1n,avaConv,0.310533333
usa,newHampshire,res,wind,q1m,avaConv,0.185137037
usa,newHampshire,res,wind,q1p,avaConv,0.256402778
usa,newHampshire,res,wind,q1a,avaConv,0.355352778
usa,newHampshire,res,wind,q2n,avaConv,0.2311644
usa,newHampshire,res,wind,q2m,avaConv,0.102166667
usa,newHampshire,res,wind,q2p,avaConv,0.131391667
usa,newHampshire,res,wind,q2a,avaConv,0.243537396
usa,newHampshire,res,wind,q3n,avaConv,0.260647131
usa,newHampshire,res,wind,q3m,avaConv,0.17185348
usa,newHampshire,res,wind,q3p,avaConv,0.214016484
usa,newHampshire,res,wind,q3a,avaConv,0.285596154
usa,newHampshire,res,wind,q4n,avaConv,0.31313831
usa,newHampshire,res,wind,q4m,avaConv,0.211032967
usa,newHampshire,res,wind,q4p,avaConv,0.27109478
usa,newHampshire,res,wind,q4a,avaConv,0.368169118
usa,vermont,res,wind,q1n,avaConv,0.310533333
usa,vermont,res,wind,q1m,avaConv,0.185137037
usa,vermont,res,wind,q1p,avaConv,0.256402778
usa,vermont,res,wind,q1a,avaConv,0.355352778
