region_1,region_2,technology_1,technology_2,timestep_3,parameter,value
mexico,occidental,res,solar,q4a,avaConv,0.084055147
mexico,oriental,res,solar,q1n,avaConv,0
mexico,oriental,res,solar,q1m,avaConv,0.043507407
mexico,oriental,res,solar,q1p,avaConv,0.506208333
mexico,oriental,res,solar,q1a,avaConv,0.065175
mexico,oriental,res,solar,q2n,avaConv,0
mexico,oriental,res,solar,q2m,avaConv,0.011237037
mexico,oriental,res,solar,q2p,avaConv,0.4283625
mexico,oriental,res,solar,q2a,avaConv,0.155495845
mexico,oriental,res,solar,q3n,avaConv,0
mexico,oriental,res,solar,q3m,avaConv,0.005838828
mexico,oriental,res,solar,q3p,avaConv,0.347462912
mexico,oriental,res,solar,q3a,avaConv,0.121230769
mexico,oriental,res,solar,q4n,avaConv,0
mexico,oriental,res,solar,q4m,avaConv,0.111589744
mexico,oriental,res,solar,q4p,avaConv,0.527535714
mexico,oriental,res,solar,q4a,avaConv,0.037680147
mexico,peninsular,res,solar,q1n,avaConv,0
mexico,peninsular,res,solar,q1m,avaConv,0.07887037
mexico,peninsular,res,solar,q1p,avaConv,0.536177778
mexico,peninsular,res,solar,q1a,avaConv,0.039458333
mexico,peninsular,res,solar,q2n,avaConv,0
mexico,peninsular,res,solar,q2m,avaConv,0.026344444
mexico,peninsular,res,solar,q2p,avaConv,0.475120833
mexico,peninsular,res,solar,q2a,avaConv,0.130083102
mexico,peninsular,res,solar,q3n,avaConv,0
mexico,peninsular,res,solar,q3m,avaConv,0.018369963
mexico,peninsular,res,solar,q3p,avaConv,0.390468407
mexico,peninsular,res,solar,q3a,avaConv,0.104239011
mexico,peninsular,res,solar,q4n,avaConv,0
mexico,peninsular,res,solar,q4m,avaConv,0.17840293
mexico,peninsular,res,solar,q4p,avaConv,0.547067308
mexico,peninsular,res,solar,q4a,avaConv,0.020672794
mexico,bajaCalifornia,res,wind,q1n,avaConv,0.21589864
mexico,bajaCalifornia,res,wind,q1m,avaConv,0.22722963
mexico,bajaCalifornia,res,wind,q1p,avaConv,0.247930556
mexico,bajaCalifornia,res,wind,q1a,avaConv,0.218958449
mexico,bajaCalifornia,res,wind,q2n,avaConv,0.24877037
mexico,bajaCalifornia,res,wind,q2m,avaConv,0.179592593
mexico,bajaCalifornia,res,wind,q2p,avaConv,0.207940278
mexico,bajaCalifornia,res,wind,q2a,avaConv,0.281766667
mexico,bajaCalifornia,res,wind,q3n,avaConv,0.177346764
mexico,bajaCalifornia,res,wind,q3m,avaConv,0.137611722
mexico,bajaCalifornia,res,wind,q3p,avaConv,0.129157967
mexico,bajaCalifornia,res,wind,q3a,avaConv,0.171736264
mexico,bajaCalifornia,res,wind,q4n,avaConv,0.203571899
mexico,bajaCalifornia,res,wind,q4m,avaConv,0.201223443
mexico,bajaCalifornia,res,wind,q4p,avaConv,0.235152682
mexico,bajaCalifornia,res,wind,q4a,avaConv,0.181948718
mexico,bajaCaliforniaSur,res,wind,q1n,avaConv,0.303604938
mexico,bajaCaliforniaSur,res,wind,q1m,avaConv,0.27602963
mexico,bajaCaliforniaSur,res,wind,q1p,avaConv,0.212225
mexico,bajaCaliforniaSur,res,wind,q1a,avaConv,0.356647222
mexico,bajaCaliforniaSur,res,wind,q2n,avaConv,0.289252163
mexico,bajaCaliforniaSur,res,wind,q2m,avaConv,0.176822222
mexico,bajaCaliforniaSur,res,wind,q2p,avaConv,0.144213889
mexico,bajaCaliforniaSur,res,wind,q2a,avaConv,0.327606648
mexico,bajaCaliforniaSur,res,wind,q3n,avaConv,0.163494505
mexico,bajaCaliforniaSur,res,wind,q3m,avaConv,0.078007326
mexico,bajaCaliforniaSur,res,wind,q3p,avaConv,0.05203022
mexico,bajaCaliforniaSur,res,wind,q3a,avaConv,0.155236264
mexico,bajaCaliforniaSur,res,wind,q4n,avaConv,0.186931943
mexico,bajaCaliforniaSur,res,wind,q4m,avaConv,0.161238095
mexico,bajaCaliforniaSur,res,wind,q4p,avaConv,0.123831044
mexico,bajaCaliforniaSur,res,wind,q4a,avaConv,0.236841912
mexico,central,res,wind,q1n,avaConv,0.08725679
mexico,central,res,wind,q1m,avaConv,0.07402963
mexico,central,res,wind,q1p,avaConv,0.168443056
mexico,central,res,wind,q1a,avaConv,0.152911111
mexico,central,res,wind,q2n,avaConv,0.051054388
mexico,central,res,wind,q2m,avaConv,0.025651852
mexico,central,res,wind,q2p,avaConv,0.058406944
mexico,central,res,wind,q2a,avaConv,0.092199446
mexico,central,res,wind,q3n,avaConv,0.053632479
mexico,central,res,wind,q3m,avaConv,0.03814652
mexico,central,res,wind,q3p,avaConv,0.043614011
mexico,central,res,wind,q3a,avaConv,0.047667582
mexico,central,res,wind,q4n,avaConv,0.092412733
mexico,central,res,wind,q4m,avaConv,0.069575092
mexico,central,res,wind,q4p,avaConv,0.100586538
mexico,central,res,wind,q4a,avaConv,0.109235294
mexico,noreste,res,wind,q1n,avaConv,0.396674074
mexico,noreste,res,wind,q1m,avaConv,0.354655556
mexico,noreste,res,wind,q1p,avaConv,0.327831944
mexico,noreste,res,wind,q1a,avaConv,0.470713889
mexico,noreste,res,wind,q2n,avaConv,0.388805933
mexico,noreste,res,wind,q2m,avaConv,0.300351852
mexico,noreste,res,wind,q2p,avaConv,0.329608333
mexico,noreste,res,wind,q2a,avaConv,0.441019391
mexico,noreste,res,wind,q3n,avaConv,0.382208791
mexico,noreste,res,wind,q3m,avaConv,0.232304029
mexico,noreste,res,wind,q3p,avaConv,0.371120879
mexico,noreste,res,wind,q3a,avaConv,0.556585165
mexico,noreste,res,wind,q4n,avaConv,0.281260154
mexico,noreste,res,wind,q4m,avaConv,0.2376337
mexico,noreste,res,wind,q4p,avaConv,0.274203297
mexico,noreste,res,wind,q4a,avaConv,0.335158088
mexico,noroeste,res,wind,q1n,avaConv,0.160046914
mexico,noroeste,res,wind,q1m,avaConv,0.134262963
mexico,noroeste,res,wind,q1p,avaConv,0.285254167
mexico,noroeste,res,wind,q1a,avaConv,0.257022222
mexico,noroeste,res,wind,q2n,avaConv,0.150229913
mexico,noroeste,res,wind,q2m,avaConv,0.100566667
mexico,noroeste,res,wind,q2p,avaConv,0.330095833
mexico,noroeste,res,wind,q2a,avaConv,0.403246537
mexico,noroeste,res,wind,q3n,avaConv,0.064796093
mexico,noroeste,res,wind,q3m,avaConv,0.064553114
mexico,noroeste,res,wind,q3p,avaConv,0.064603022
mexico,noroeste,res,wind,q3a,avaConv,0.046228022
mexico,noroeste,res,wind,q4n,avaConv,0.135589462
mexico,noroeste,res,wind,q4m,avaConv,0.115058608
mexico,noroeste,res,wind,q4p,avaConv,0.207519231
mexico,noroeste,res,wind,q4a,avaConv,0.149856618
mexico,norte,res,wind,q1n,avaConv,0.36932963
mexico,norte,res,wind,q1m,avaConv,0.213807407
mexico,norte,res,wind,q1p,avaConv,0.220654167
mexico,norte,res,wind,q1a,avaConv,0.346791667
mexico,norte,res,wind,q2n,avaConv,0.394140915
mexico,norte,res,wind,q2m,avaConv,0.168037037
mexico,norte,res,wind,q2p,avaConv,0.167811111
mexico,norte,res,wind,q2a,avaConv,0.295116343
mexico,norte,res,wind,q3n,avaConv,0.255550672
mexico,norte,res,wind,q3m,avaConv,0.08647619
mexico,norte,res,wind,q3p,avaConv,0.079649725
mexico,norte,res,wind,q3a,avaConv,0.141296703
mexico,norte,res,wind,q4n,avaConv,0.290055982
mexico,norte,res,wind,q4m,avaConv,0.151003663
mexico,norte,res,wind,q4p,avaConv,0.166148352
mexico,norte,res,wind,q4a,avaConv,0.272220588
mexico,occidental,res,wind,q1n,avaConv,0.310533333
mexico,occidental,res,wind,q1m,avaConv,0.185137037
mexico,occidental,res,wind,q1p,avaConv,0.256402778
mexico,occidental,res,wind,q1a,avaConv,0.355352778
mexico,occidental,res,wind,q2n,avaConv,0.2311644
mexico,occidental,res,wind,q2m,avaConv,0.102166667
mexico,occidental,res,wind,q2p,avaConv,0.131391667
mexico,occidental,res,wind,q2a,avaConv,0.243537396
mexico,occidental,res,wind,q3n,avaConv,0.260647131
mexico,occidental,res,wind,q3m,avaConv,0.17185348
mexico,occidental,res,wind,q3p,avaConv,0.214016484
mexico,occidental,res,wind,q3a,avaConv,0.285596154
mexico,occidental,res,wind,q4n,avaConv,0.31313831
mexico,occidental,res,wind,q4m,avaConv,0.211032967
mexico,occidental,res,wind,q4p,avaConv,0.27109478
mexico,occidental,res,wind,q4a,avaConv,0.368169118
mexico,oriental,res,wind,q1n,avaConv,0.556641975
mexico,oriental,res,wind,q1m,avaConv,0.557974074
mexico,oriental,res,wind,q1p,avaConv,0.622654167
mexico,oriental,res,wind,q1a,avaConv,0.630494444
mexico,oriental,res,wind,q2n,avaConv,0.284326329
mexico,oriental,res,wind,q2m,avaConv,0.267722222
mexico,oriental,res,wind,q2p,avaConv,0.317241667
mexico,oriental,res,wind,q2a,avaConv,0.340742382
mexico,oriental,res,wind,q3n,avaConv,0.239211233
mexico,oriental,res,wind,q3m,avaConv,0.218710623
mexico,oriental,res,wind,q3p,avaConv,0.227184066
mexico,oriental,res,wind,q3a,avaConv,0.239697802
mexico,oriental,res,wind,q4n,avaConv,0.613384193
mexico,oriental,res,wind,q4m,avaConv,0.597032967
mexico,oriental,res,wind,q4p,avaConv,0.705898352
mexico,oriental,res,wind,q4a,avaConv,0.664507353
mexico,peninsular,res,wind,q1n,avaConv,0.2057
mexico,peninsular,res,wind,q1m,avaConv,0.16712963
mexico,peninsular,res,wind,q1p,avaConv,0.218306944
mexico,peninsular,res,wind,q1a,avaConv,0.246194444
mexico,peninsular,res,wind,q2n,avaConv,0.214211372
mexico,peninsular,res,wind,q2m,avaConv,0.133211111
mexico,peninsular,res,wind,q2p,avaConv,0.150573611
mexico,peninsular,res,wind,q2a,avaConv,0.264631579
mexico,peninsular,res,wind,q3n,avaConv,0.106429792
mexico,peninsular,res,wind,q3m,avaConv,0.068058608
mexico,peninsular,res,wind,q3p,avaConv,0.084671703
mexico,peninsular,res,wind,q3a,avaConv,0.165417582
mexico,peninsular,res,wind,q4n,avaConv,0.138839737
mexico,peninsular,res,wind,q4m,avaConv,0.095772894
mexico,peninsular,res,wind,q4p,avaConv,0.153865385
mexico,peninsular,res,wind,q4a,avaConv,0.237213235
usa,alabama,res,wind,q1n,avaConv,0.310533333
usa,alabama,res,wind,q1m,avaConv,0.185137037
usa,alabama,res,wind,q1p,avaConv,0.256402778
usa,alabama,res,wind,q1a,avaConv,0.355352778
usa,alabama,res,wind,q2n,avaConv,0.2311644
usa,alabama,res,wind,q2m,avaConv,0.102166667
usa,alabama,res,wind,q2p,avaConv,0.131391667
usa,alabama,res,wind,q2a,avaConv,0.243537396
usa,alabama,res,wind,q3n,avaConv,0.260647131
usa,alabama,res,wind,q3m,avaConv,0.17185348
usa,alabama,res,wind,q3p,avaConv,0.214016484
usa,alabama,res,wind,q3a,avaConv,0.285596154
usa,alabama,res,wind,q4n,avaConv,0.31313831
usa,alabama,res,wind,q4m,avaConv,0.211032967
usa,alabama,res,wind,q4p,avaConv,0.27109478
usa,alabama,res,wind,q4a,avaConv,0.368169118
usa,california,res,wind,q1n,avaConv,0.310533333
usa,california,res,wind,q1m,avaConv,0.185137037
usa,california,res,wind,q1p,avaConv,0.256402778
usa,california,res,wind,q1a,avaConv,0.355352778
usa,california,res,wind,q2n,avaConv,0.2311644
usa,california,res,wind,q2m,avaConv,0.102166667
usa,california,res,wind,q2p,avaConv,0.131391667
usa,california,res,wind,q2a,avaConv,0.243537396
usa,california,res,wind,q3n,avaConv,0.260647131
usa,california,res,wind,q3m,avaConv,0.17185348
usa,california,res,wind,q3p,avaConv,0.214016484
usa,california,res,wind,q3a,avaConv,0.285596154
usa,california,res,wind,q4n,avaConv,0.31313831
usa,california,res,wind,q4m,avaConv,0.211032967
usa,california,res,wind,q4p,avaConv,0.27109478
usa,california,res,wind,q4a,avaConv,0.368169118
usa,washington,res,wind,q1n,avaConv,0.310533333
usa,washington,res,wind,q1m,avaConv,0.185137037
usa,washington,res,wind,q1p,avaConv,0.256402778
usa,washington,res,wind,q1a,avaConv,0.355352778
usa,washington,res,wind,q2n,avaConv,0.2311644
usa,washington,res,wind,q2m,avaConv,0.102166667
usa,washington,res,wind,q2p,avaConv,0.131391667
usa,washington,res,wind,q2a,avaConv,0.243537396
usa,washington,res,wind,q3n,avaConv,0.260647131
usa,washington,res,wind,q3m,avaConv,0.17185348
usa,washington,res,wind,q3p,avaConv,0.214016484
usa,washington,res,wind,q3a,avaConv,0.285596154
usa,washington,res,wind,q4n,avaConv,0.31313831
usa,washington,res,wind,q4m,avaConv,0.211032967
usa,washington,res,wind,q4p,avaConv,0.27109478
usa,washington,res,wind,q4a,avaConv,0.368169118
usa,oregon,res,wind,q1n,avaConv,0.310533333
usa,oregon,res,wind,q1m,avaConv,0.185137037
usa,oregon,res,wind,q1p,avaConv,0.256402778
usa,oregon,res,wind,q1a,avaConv,0.355352778
usa,oregon,res,wind,q2n,avaConv,0.2311644
usa,oregon,res,wind,q2m,avaConv,0.102166667
usa,oregon,res,wind,q2p,avaConv,0.131391667
usa,oregon,res,wind,q2a,avaConv,0.243537396
usa,oregon,res,wind,q3n,avaConv,0.260647131
usa,oregon,res,wind,q3m,avaConv,0.17185348
usa,oregon,res,wind,q3p,avaConv,0.214016484
usa,oregon,res,wind,q3a,avaConv,0.285596154
usa,oregon,res,wind,q4n,avaConv,0.31313831
usa,oregon,res,wind,q4m,avaConv,0.211032967
usa,oregon,res,wind,q4p,avaConv,0.27109478
usa,oregon,res,wind,q4a,avaConv,0.368169118
usa,idaho,res,wind,q1n,avaConv,0.310533333
usa,idaho,res,wind,q1m,avaConv,0.185137037
usa,idaho,res,wind,q1p,avaConv,0.256402778
usa,idaho,res,wind,q1a,avaConv,0.355352778
usa,idaho,res,wind,q2n,avaConv,0.2311644
usa,idaho,res,wind,q2m,avaConv,0.102166667
usa,idaho,res,wind,q2p,avaConv,0.131391667
usa,idaho,res,wind,q2a,avaConv,0.243537396
usa,idaho,res,wind,q3n,avaConv,0.260647131
usa,idaho,res,wind,q3m,avaConv,0.17185348
usa,idaho,res,wind,q3p,avaConv,0.214016484
usa,idaho,res,wind,q3a,avaConv,0.285596154
usa,idaho,res,wind,q4n,avaConv,0.31313831
usa,idaho,res,wind,q4m,avaConv,0.211032967
usa,idaho,res,wind,q4p,avaConv,0.27109478
