region_1,region_2,technology_4,timestep_2,parameter,value,comment
mexico,norte,pOil,2030,capaConvResi,3.091,
mexico,norte,pOil,2035,capaConvResi,2.628,
mexico,norte,pOil,2040,capaConvResi,2.234,
mexico,occidental,pOil,2015,capaConvResi,5.612,
mexico,occidental,pOil,2020,capaConvResi,4.77,
mexico,occidental,pOil,2025,capaConvResi,4.055,
mexico,occidental,pOil,2030,capaConvResi,3.446,
mexico,occidental,pOil,2035,capaConvResi,2.929,
mexico,occidental,pOil,2040,capaConvResi,2.49,
mexico,oriental,pOil,2015,capaConvResi,7.786,
mexico,oriental,pOil,2020,capaConvResi,6.618,
mexico,oriental,pOil,2025,capaConvResi,5.625,
mexico,oriental,pOil,2030,capaConvResi,4.781,
mexico,oriental,pOil,2035,capaConvResi,4.064,
mexico,oriental,pOil,2040,capaConvResi,3.455,
mexico,peninsular,pOil,2015,capaConvResi,2.701,
mexico,peninsular,pOil,2020,capaConvResi,2.296,
mexico,peninsular,pOil,2025,capaConvResi,1.951,
mexico,peninsular,pOil,2030,capaConvResi,1.659,
mexico,peninsular,pOil,2035,capaConvResi,1.41,
mexico,peninsular,pOil,2040,capaConvResi,1.198,
mexico,peninsular,pOil,2045,capaConvResi,0.899,
mexico,peninsular,pOil,2050,capaConvResi,0.674,
mexico,bajaCaliforniaSur,resGeothermal,2015,capaConvResi,0.031,
mexico,central,chpGas,2015,capaConvResi,0.123,
mexico,central,chpGas,2020,capaConvResi,0.092,
mexico,central,chpGas,2025,capaConvResi,0.069,
mexico,central,chpGas,2030,capaConvResi,0.052,
mexico,central,chpGas,2035,capaConvResi,0.039,
mexico,central,chpGas,2040,capaConvResi,0.029,
mexico,central,chpGas,2045,capaConvResi,0.022,
mexico,occidental,resGeothermal,2015,capaConvResi,0.621,
mexico,occidental,resGeothermal,2020,capaConvResi,2.542,
mexico,occidental,resGeothermal,2025,capaConvResi,1.907,
mexico,occidental,resGeothermal,2030,capaConvResi,1.43,
mexico,occidental,resGeothermal,2035,capaConvResi,1.072,
mexico,occidental,resGeothermal,2040,capaConvResi,0.804,
mexico,occidental,resGeothermal,2045,capaConvResi,0.603,
mexico,occidental,resGeothermal,2050,capaConvResi,0.452,
mexico,central,resHydroLarge,2015,capaConvResi,1.156,
mexico,central,resHydroLarge,2020,capaConvResi,0.867,
mexico,central,resHydroLarge,2025,capaConvResi,0.65,
mexico,central,resHydroLarge,2030,capaConvResi,0.488,
mexico,central,resHydroLarge,2035,capaConvResi,0.366,
mexico,central,resHydroLarge,2040,capaConvResi,0.274,
mexico,central,resHydroLarge,2045,capaConvResi,0.206,
mexico,central,resHydroLarge,2050,capaConvResi,0.154,
mexico,noreste,chpGas,2015,capaConvResi,0.235,
mexico,noreste,chpGas,2020,capaConvResi,0.176,
mexico,noreste,chpGas,2025,capaConvResi,0.132,
mexico,noreste,chpGas,2030,capaConvResi,0.099,
mexico,noreste,chpGas,2035,capaConvResi,0.074,
mexico,noreste,chpGas,2040,capaConvResi,0.056,
mexico,noreste,chpGas,2045,capaConvResi,0.042,
mexico,noreste,chpGas,2050,capaConvResi,0.031,
mexico,noreste,resHydroLarge,2015,capaConvResi,1.832,
mexico,noreste,resHydroLarge,2020,capaConvResi,8.213,
mexico,noreste,resHydroLarge,2025,capaConvResi,6.16,
mexico,noreste,resHydroLarge,2030,capaConvResi,4.62,
mexico,noreste,resHydroLarge,2035,capaConvResi,3.465,
mexico,noreste,resHydroLarge,2040,capaConvResi,2.599,
mexico,noreste,resHydroLarge,2045,capaConvResi,1.949,
mexico,noreste,resHydroLarge,2050,capaConvResi,1.462,
mexico,noroeste,resHydroLarge,2015,capaConvResi,3.161,
mexico,noroeste,resHydroLarge,2020,capaConvResi,2.371,
mexico,noroeste,resHydroLarge,2025,capaConvResi,1.778,
mexico,noroeste,resHydroLarge,2030,capaConvResi,1.334,
