region_1,region_2,technology_4,timestep_2,parameter,value,comment
usa,louisiana,chpGas,2050,capaConvResi,1.309,
usa,massachusetts,chpGas,2015,capaConvResi,2.651,
usa,massachusetts,chpGas,2020,capaConvResi,1.988,
usa,massachusetts,chpGas,2025,capaConvResi,1.491,
usa,massachusetts,chpGas,2030,capaConvResi,1.118,
usa,massachusetts,chpGas,2035,capaConvResi,0.839,
usa,massachusetts,chpGas,2040,capaConvResi,0.629,
usa,massachusetts,chpGas,2045,capaConvResi,0.472,
usa,massachusetts,chpGas,2050,capaConvResi,0.354,
usa,maryland,chpGas,2015,capaConvResi,0.646,
usa,maryland,chpGas,2020,capaConvResi,0.484,
usa,maryland,chpGas,2025,capaConvResi,0.363,
usa,maryland,chpGas,2030,capaConvResi,0.272,
usa,maryland,chpGas,2035,capaConvResi,0.204,
usa,maryland,chpGas,2040,capaConvResi,0.153,
usa,maryland,chpGas,2045,capaConvResi,0.115,
usa,maryland,chpGas,2050,capaConvResi,0.086,
usa,maine,chpGas,2015,capaConvResi,0.336,
usa,maine,chpGas,2020,capaConvResi,0.252,
usa,maine,chpGas,2025,capaConvResi,0.189,
usa,maine,chpGas,2030,capaConvResi,0.142,
usa,maine,chpGas,2035,capaConvResi,0.106,
usa,maine,chpGas,2040,capaConvResi,0.08,
usa,maine,chpGas,2045,capaConvResi,0.06,
usa,maine,chpGas,2050,capaConvResi,0.045,
usa,michigan,chpGas,2015,capaConvResi,5.001,
usa,michigan,chpGas,2020,capaConvResi,3.751,
usa,michigan,chpGas,2025,capaConvResi,2.813,
usa,michigan,chpGas,2030,capaConvResi,2.11,
usa,michigan,chpGas,2035,capaConvResi,1.582,
usa,michigan,chpGas,2040,capaConvResi,1.187,
usa,michigan,chpGas,2045,capaConvResi,0.89,
usa,michigan,chpGas,2050,capaConvResi,0.668,
usa,minnesota,chpGas,2015,capaConvResi,0.57,
usa,minnesota,chpGas,2020,capaConvResi,0.427,
usa,minnesota,chpGas,2025,capaConvResi,0.321,
usa,minnesota,chpGas,2030,capaConvResi,0.24,
usa,minnesota,chpGas,2035,capaConvResi,0.18,
usa,minnesota,chpGas,2040,capaConvResi,0.135,
usa,minnesota,chpGas,2045,capaConvResi,0.101,
usa,minnesota,chpGas,2050,capaConvResi,0.076,
usa,missouri,chpGas,2015,capaConvResi,0.233,
usa,missouri,chpGas,2020,capaConvResi,0.175,
usa,missouri,chpGas,2025,capaConvResi,0.131,
usa,missouri,chpGas,2030,capaConvResi,0.098,
usa,missouri,chpGas,2035,capaConvResi,0.074,
usa,missouri,chpGas,2040,capaConvResi,0.055,
usa,missouri,chpGas,2045,capaConvResi,0.042,
usa,missouri,chpGas,2050,capaConvResi,0.031,
usa,mississippi,chpGas,2015,capaConvResi,0.392,
usa,mississippi,chpGas,2020,capaConvResi,0.294,
usa,mississippi,chpGas,2025,capaConvResi,0.221,
usa,mississippi,chpGas,2030,capaConvResi,0.165,
usa,mississippi,chpGas,2035,capaConvResi,0.124,
usa,mississippi,chpGas,2040,capaConvResi,0.093,
usa,mississippi,chpGas,2045,capaConvResi,0.07,
usa,mississippi,chpGas,2050,capaConvResi,0.052,
usa,northCarolina,chpGas,2015,capaConvResi,0.426,
usa,northCarolina,chpGas,2020,capaConvResi,0.319,
usa,northCarolina,chpGas,2025,capaConvResi,0.24,
usa,northCarolina,chpGas,2030,capaConvResi,0.18,
usa,northCarolina,chpGas,2035,capaConvResi,0.135,
usa,northCarolina,chpGas,2040,capaConvResi,0.101,
usa,northCarolina,chpGas,2045,capaConvResi,0.076,
usa,northCarolina,chpGas,2050,capaConvResi,0.057,
usa,nebraska,chpGas,2015,capaConvResi,0.022,
usa,newHampshire,chpGas,2015,capaConvResi,0.045,
usa,newHampshire,chpGas,2020,capaConvResi,0.033,
usa,newHampshire,chpGas,2025,capaConvResi,0.025,
usa,newHampshire,chpGas,2030,capaConvResi,0.019,
usa,newJersey,chpGas,2015,capaConvResi,4.132,
usa,newJersey,chpGas,2020,capaConvResi,3.099,
usa,newJersey,chpGas,2025,capaConvResi,2.324,
usa,newJersey,chpGas,2030,capaConvResi,1.743,
usa,newJersey,chpGas,2035,capaConvResi,1.308,
usa,newJersey,chpGas,2040,capaConvResi,0.981,
usa,newJersey,chpGas,2045,capaConvResi,0.735,
usa,newJersey,chpGas,2050,capaConvResi,0.552,
usa,newMexico,chpGas,2015,capaConvResi,0.134,
usa,newMexico,chpGas,2020,capaConvResi,0.1,
usa,newMexico,chpGas,2025,capaConvResi,0.075,
usa,newMexico,chpGas,2030,capaConvResi,0.056,
usa,newMexico,chpGas,2035,capaConvResi,0.042,
usa,newMexico,chpGas,2040,capaConvResi,0.032,
usa,newMexico,chpGas,2045,capaConvResi,0.024,
usa,newMexico,chpGas,2050,capaConvResi,0.018,
usa,nevada,chpGas,2015,capaConvResi,0.508,
usa,nevada,chpGas,2020,capaConvResi,0.381,
usa,nevada,chpGas,2025,capaConvResi,0.286,
usa,nevada,chpGas,2030,capaConvResi,0.214,
usa,nevada,chpGas,2035,capaConvResi,0.161,
usa,nevada,chpGas,2040,capaConvResi,0.121,
usa,nevada,chpGas,2045,capaConvResi,0.09,
usa,nevada,chpGas,2050,capaConvResi,0.068,
usa,newYork,chpGas,2015,capaConvResi,8.481,
usa,newYork,chpGas,2020,capaConvResi,6.361,
usa,newYork,chpGas,2025,capaConvResi,4.771,
usa,newYork,chpGas,2030,capaConvResi,3.578,
usa,newYork,chpGas,2035,capaConvResi,2.684,
usa,newYork,chpGas,2040,capaConvResi,2.013,
usa,newYork,chpGas,2045,capaConvResi,1.509,
usa,newYork,chpGas,2050,capaConvResi,1.132,
usa,ohio,chpGas,2015,capaConvResi,0.506,
usa,ohio,chpGas,2020,capaConvResi,0.379,
usa,ohio,chpGas,2025,capaConvResi,0.284,
usa,ohio,chpGas,2030,capaConvResi,0.213,
usa,ohio,chpGas,2035,capaConvResi,0.16,
usa,ohio,chpGas,2040,capaConvResi,0.12,
usa,ohio,chpGas,2045,capaConvResi,0.09,
usa,ohio,chpGas,2050,capaConvResi,0.068,
usa,oklahoma,chpGas,2015,capaConvResi,0.069,
usa,oklahoma,chpGas,2020,capaConvResi,0.052,
usa,oklahoma,chpGas,2025,capaConvResi,0.039,
usa,oklahoma,chpGas,2030,capaConvResi,0.029,
usa,oklahoma,chpGas,2035,capaConvResi,0.022,
usa,oregon,chpGas,2015,capaConvResi,2.987,
usa,oregon,chpGas,2020,capaConvResi,2.24,
usa,oregon,chpGas,2025,capaConvResi,1.68,
usa,oregon,chpGas,2030,capaConvResi,1.26,
usa,oregon,chpGas,2035,capaConvResi,0.945,
usa,oregon,chpGas,2040,capaConvResi,0.709,
usa,oregon,chpGas,2045,capaConvResi,0.532,
usa,oregon,chpGas,2050,capaConvResi,0.399,
usa,pennsylvania,chpGas,2015,capaConvResi,34.239,
usa,pennsylvania,chpGas,2020,capaConvResi,25.679,
usa,pennsylvania,chpGas,2025,capaConvResi,19.26,
usa,pennsylvania,chpGas,2030,capaConvResi,14.445,
usa,pennsylvania,chpGas,2035,capaConvResi,10.834,
usa,pennsylvania,chpGas,2040,capaConvResi,8.125,
usa,pennsylvania,chpGas,2045,capaConvResi,6.094,
usa,pennsylvania,chpGas,2050,capaConvResi,4.57,
usa,rhodeIsland,chpGas,2015,capaConvResi,0.202,
usa,rhodeIsland,chpGas,2020,capaConvResi,0.151,
usa,rhodeIsland,chpGas,2025,capaConvResi,0.114,
usa,rhodeIsland,chpGas,2030,capaConvResi,0.085,
usa,rhodeIsland,chpGas,2035,capaConvResi,0.064,
usa,rhodeIsland,chpGas,2040,capaConvResi,0.048,
usa,rhodeIsland,chpGas,2045,capaConvResi,0.036,
usa,rhodeIsland,chpGas,2050,capaConvResi,0.027,
usa,southCarolina,chpGas,2015,capaConvResi,1.29,
usa,southCarolina,chpGas,2020,capaConvResi,0.967,
usa,southCarolina,chpGas,2025,capaConvResi,0.726,
usa,southCarolina,chpGas,2030,capaConvResi,0.544,
usa,southCarolina,chpGas,2035,capaConvResi,0.408,
usa,southCarolina,chpGas,2040,capaConvResi,0.306,
usa,southCarolina,chpGas,2045,capaConvResi,0.23,
usa,southCarolina,chpGas,2050,capaConvResi,0.172,
usa,tennessee,chpGas,2015,capaConvResi,0.059,
usa,tennessee,chpGas,2020,capaConvResi,0.044,
usa,tennessee,chpGas,2025,capaConvResi,0.033,
usa,tennessee,chpGas,2030,capaConvResi,0.025,
usa,tennessee,chpGas,2035,capaConvResi,0.019,
usa,texas,chpGas,2015,capaConvResi,28.993,
usa,texas,chpGas,2020,capaConvResi,21.744,
usa,texas,chpGas,2025,capaConvResi,16.308,
usa,texas,chpGas,2030,capaConvResi,12.231,
usa,texas,chpGas,2035,capaConvResi,9.173,
usa,texas,chpGas,2040,capaConvResi,6.88,
usa,texas,chpGas,2045,capaConvResi,5.16,
usa,texas,chpGas,2050,capaConvResi,3.87,
usa,utah,chpGas,2015,capaConvResi,0.289,
usa,utah,chpGas,2020,capaConvResi,0.217,
usa,utah,chpGas,2025,capaConvResi,0.163,
usa,utah,chpGas,2030,capaConvResi,0.122,
usa,utah,chpGas,2035,capaConvResi,0.092,
usa,utah,chpGas,2040,capaConvResi,0.069,
usa,utah,chpGas,2045,capaConvResi,0.051,
usa,utah,chpGas,2050,capaConvResi,0.039,
usa,virginia,chpGas,2015,capaConvResi,1.022,
usa,virginia,chpGas,2020,capaConvResi,0.767,
usa,virginia,chpGas,2025,capaConvResi,0.575,
usa,virginia,chpGas,2030,capaConvResi,0.431,
usa,virginia,chpGas,2035,capaConvResi,0.323,
usa,virginia,chpGas,2040,capaConvResi,0.243,
usa,virginia,chpGas,2045,capaConvResi,0.182,
usa,virginia,chpGas,2050,capaConvResi,0.136,
usa,vermont,chpGas,2015,capaConvResi,0.018,
usa,washington,chpGas,2015,capaConvResi,0.536,
usa,washington,chpGas,2020,capaConvResi,0.402,
usa,washington,chpGas,2025,capaConvResi,0.301,
usa,washington,chpGas,2030,capaConvResi,0.226,
usa,washington,chpGas,2035,capaConvResi,0.169,
usa,washington,chpGas,2040,capaConvResi,0.127,
usa,washington,chpGas,2045,capaConvResi,0.095,
usa,washington,chpGas,2050,capaConvResi,0.071,
usa,wisconsin,chpGas,2015,capaConvResi,1.588,
usa,wisconsin,chpGas,2020,capaConvResi,1.191,
usa,wisconsin,chpGas,2025,capaConvResi,0.893,
usa,wisconsin,chpGas,2030,capaConvResi,0.67,
usa,wisconsin,chpGas,2035,capaConvResi,0.503,
usa,wisconsin,chpGas,2040,capaConvResi,0.377,
usa,wisconsin,chpGas,2045,capaConvResi,0.283,
usa,wisconsin,chpGas,2050,capaConvResi,0.212,
usa,westVirginia,chpGas,2015,capaConvResi,0.439,
usa,westVirginia,chpGas,2020,capaConvResi,0.329,
usa,westVirginia,chpGas,2025,capaConvResi,0.247,
usa,westVirginia,chpGas,2030,capaConvResi,0.185,
usa,westVirginia,chpGas,2035,capaConvResi,0.139,
usa,westVirginia,chpGas,2040,capaConvResi,0.104,
usa,westVirginia,chpGas,2045,capaConvResi,0.078,
usa,westVirginia,chpGas,2050,capaConvResi,0.059,
usa,wyoming,chpGas,2015,capaConvResi,0.208,
usa,wyoming,chpGas,2020,capaConvResi,0.156,
usa,wyoming,chpGas,2025,capaConvResi,0.117,
usa,wyoming,chpGas,2030,capaConvResi,0.088,
usa,wyoming,chpGas,2035,capaConvResi,0.066,
usa,wyoming,chpGas,2040,capaConvResi,0.049,
usa,wyoming,chpGas,2045,capaConvResi,0.037,
usa,wyoming,chpGas,2050,capaConvResi,0.028,
usa,california,chpOil,2015,capaConvResi,0.239,
usa,california,chpOil,2020,capaConvResi,0.179,
usa,california,chpOil,2025,capaConvResi,0.135,
usa,california,chpOil,2030,capaConvResi,0.101,
usa,california,chpOil,2035,capaConvResi,0.076,
usa,california,chpOil,2040,capaConvResi,0.057,
usa,florida,chpOil,2015,capaConvResi,0.033,
usa,georgia,chpOil,2015,capaConvResi,0.053,
usa,georgia,chpOil,2020,capaConvResi,0.04,
usa,georgia,chpOil,2025,capaConvResi,0.03,
usa,louisiana,chpOil,2015,capaConvResi,0.815,
usa,louisiana,chpOil,2020,capaConvResi,0.611,
usa,louisiana,chpOil,2025,capaConvResi,0.458,
usa,louisiana,chpOil,2030,capaConvResi,0.344,
usa,louisiana,chpOil,2035,capaConvResi,0.258,
usa,louisiana,chpOil,2040,capaConvResi,0.193,
usa,massachusetts,chpOil,2015,capaConvResi,0.028,
usa,minnesota,chpOil,2015,capaConvResi,0.028,
usa,missouri,chpOil,2015,capaConvResi,0.049,
usa,missouri,chpOil,2020,capaConvResi,0.036,
usa,missouri,chpOil,2025,capaConvResi,0.027,
usa,montana,chpOil,2015,capaConvResi,0.14,
usa,montana,chpOil,2020,capaConvResi,0.105,
usa,montana,chpOil,2025,capaConvResi,0.079,
usa,montana,chpOil,2030,capaConvResi,0.059,
usa,montana,chpOil,2035,capaConvResi,0.044,
usa,montana,chpOil,2040,capaConvResi,0.033,
usa,northCarolina,chpOil,2015,capaConvResi,0.17,
usa,northCarolina,chpOil,2020,capaConvResi,0.128,
usa,northCarolina,chpOil,2025,capaConvResi,0.096,
usa,northCarolina,chpOil,2030,capaConvResi,0.072,
usa,northCarolina,chpOil,2035,capaConvResi,0.054,
usa,northCarolina,chpOil,2040,capaConvResi,0.04,
usa,newHampshire,chpOil,2015,capaConvResi,0.036,
usa,newHampshire,chpOil,2020,capaConvResi,0.027,
usa,newYork,chpOil,2015,capaConvResi,0.038,
usa,newYork,chpOil,2020,capaConvResi,0.029,
usa,pennsylvania,chpOil,2015,capaConvResi,0.199,
usa,pennsylvania,chpOil,2020,capaConvResi,0.149,
usa,pennsylvania,chpOil,2025,capaConvResi,0.112,
usa,pennsylvania,chpOil,2030,capaConvResi,0.084,
usa,pennsylvania,chpOil,2035,capaConvResi,0.063,
usa,pennsylvania,chpOil,2040,capaConvResi,0.047,
usa,rhodeIsland,chpOil,2015,capaConvResi,0.025,
usa,southCarolina,chpOil,2015,capaConvResi,0.14,
usa,southCarolina,chpOil,2020,capaConvResi,0.105,
usa,southCarolina,chpOil,2025,capaConvResi,0.079,
usa,southCarolina,chpOil,2030,capaConvResi,0.059,
usa,southCarolina,chpOil,2035,capaConvResi,0.044,
usa,southCarolina,chpOil,2040,capaConvResi,0.033,
usa,texas,chpOil,2015,capaConvResi,0.177,
usa,texas,chpOil,2020,capaConvResi,0.132,
usa,texas,chpOil,2025,capaConvResi,0.099,
usa,texas,chpOil,2030,capaConvResi,0.075,
usa,texas,chpOil,2035,capaConvResi,0.056,
usa,texas,chpOil,2040,capaConvResi,0.042,
usa,virginia,chpOil,2015,capaConvResi,0.035,
usa,virginia,chpOil,2020,capaConvResi,0.026,
usa,washington,chpOil,2015,capaConvResi,0.687,
usa,washington,chpOil,2020,capaConvResi,0.515,
usa,washington,chpOil,2025,capaConvResi,0.386,
usa,washington,chpOil,2030,capaConvResi,0.29,
usa,washington,chpOil,2035,capaConvResi,0.217,
usa,washington,chpOil,2040,capaConvResi,0.163,
usa,wisconsin,chpOil,2015,capaConvResi,0.163,
usa,wisconsin,chpOil,2020,capaConvResi,0.122,
usa,wisconsin,chpOil,2025,capaConvResi,0.092,
usa,wisconsin,chpOil,2030,capaConvResi,0.069,
usa,wisconsin,chpOil,2035,capaConvResi,0.052,
usa,wisconsin,chpOil,2040,capaConvResi,0.039,
usa,alabama,hhtBiomass,2015,capaConvResi,1.409,
usa,alabama,hhtBiomass,2020,capaConvResi,1.057,
usa,alabama,hhtBiomass,2025,capaConvResi,0.792,
usa,alabama,hhtBiomass,2030,capaConvResi,0.594,
usa,alabama,hhtBiomass,2035,capaConvResi,0.446,
usa,arizona,hhtBiomass,2015,capaConvResi,1.475,
usa,arizona,hhtBiomass,2020,capaConvResi,1.107,
usa,arizona,hhtBiomass,2025,capaConvResi,0.83,
usa,arizona,hhtBiomass,2030,capaConvResi,0.622,
usa,arizona,hhtBiomass,2035,capaConvResi,0.467,
usa,arkansas,hhtBiomass,2015,capaConvResi,0.762,
usa,arkansas,hhtBiomass,2020,capaConvResi,0.571,
usa,arkansas,hhtBiomass,2025,capaConvResi,0.429,
usa,arkansas,hhtBiomass,2030,capaConvResi,0.321,
usa,arkansas,hhtBiomass,2035,capaConvResi,0.241,
usa,california,hhtBiomass,2015,capaConvResi,10.639,
usa,california,hhtBiomass,2020,capaConvResi,7.979,
usa,california,hhtBiomass,2025,capaConvResi,5.985,
usa,california,hhtBiomass,2030,capaConvResi,4.488,
usa,california,hhtBiomass,2035,capaConvResi,3.366,
usa,colorado,hhtBiomass,2015,capaConvResi,1.842,
usa,colorado,hhtBiomass,2020,capaConvResi,1.381,
usa,colorado,hhtBiomass,2025,capaConvResi,1.036,
usa,colorado,hhtBiomass,2030,capaConvResi,0.777,
usa,colorado,hhtBiomass,2035,capaConvResi,0.583,
usa,connecticut,hhtBiomass,2015,capaConvResi,1.082,
usa,connecticut,hhtBiomass,2020,capaConvResi,0.811,
usa,connecticut,hhtBiomass,2025,capaConvResi,0.608,
usa,connecticut,hhtBiomass,2030,capaConvResi,0.456,
usa,connecticut,hhtBiomass,2035,capaConvResi,0.342,
usa,delaware,hhtBiomass,2015,capaConvResi,0.207,
usa,delaware,hhtBiomass,2020,capaConvResi,0.155,
usa,delaware,hhtBiomass,2025,capaConvResi,0.116,
usa,delaware,hhtBiomass,2030,capaConvResi,0.087,
usa,delaware,hhtBiomass,2035,capaConvResi,0.065,
usa,florida,hhtBiomass,2015,capaConvResi,3.239,
usa,florida,hhtBiomass,2020,capaConvResi,2.43,
usa,florida,hhtBiomass,2025,capaConvResi,1.822,
usa,florida,hhtBiomass,2030,capaConvResi,1.367,
usa,florida,hhtBiomass,2035,capaConvResi,1.025,
usa,georgia,hhtBiomass,2015,capaConvResi,2.277,
usa,georgia,hhtBiomass,2020,capaConvResi,1.708,
usa,georgia,hhtBiomass,2025,capaConvResi,1.281,
usa,georgia,hhtBiomass,2030,capaConvResi,0.961,
usa,georgia,hhtBiomass,2035,capaConvResi,0.72,
usa,idaho,hhtBiomass,2015,capaConvResi,0.37,
usa,idaho,hhtBiomass,2020,capaConvResi,0.278,
usa,idaho,hhtBiomass,2025,capaConvResi,0.208,
usa,idaho,hhtBiomass,2030,capaConvResi,0.156,
usa,idaho,hhtBiomass,2035,capaConvResi,0.117,
usa,illinois,hhtBiomass,2015,capaConvResi,3.797,
usa,illinois,hhtBiomass,2020,capaConvResi,2.848,
usa,illinois,hhtBiomass,2025,capaConvResi,2.136,
usa,illinois,hhtBiomass,2030,capaConvResi,1.602,
usa,illinois,hhtBiomass,2035,capaConvResi,1.201,
usa,indiana,hhtBiomass,2015,capaConvResi,2.811,
usa,indiana,hhtBiomass,2020,capaConvResi,2.108,
usa,indiana,hhtBiomass,2025,capaConvResi,1.581,
usa,indiana,hhtBiomass,2030,capaConvResi,1.186,
usa,indiana,hhtBiomass,2035,capaConvResi,0.889,
usa,iowa,hhtBiomass,2015,capaConvResi,1.148,
usa,iowa,hhtBiomass,2020,capaConvResi,0.861,
usa,iowa,hhtBiomass,2025,capaConvResi,0.646,
usa,iowa,hhtBiomass,2030,capaConvResi,0.484,
usa,iowa,hhtBiomass,2035,capaConvResi,0.363,
usa,kansas,hhtBiomass,2015,capaConvResi,0.809,
usa,kansas,hhtBiomass,2020,capaConvResi,0.607,
usa,kansas,hhtBiomass,2025,capaConvResi,0.455,
usa,kansas,hhtBiomass,2030,capaConvResi,0.341,
usa,kansas,hhtBiomass,2035,capaConvResi,0.256,
usa,kentucky,hhtBiomass,2015,capaConvResi,1.347,
usa,kentucky,hhtBiomass,2020,capaConvResi,1.01,
usa,kentucky,hhtBiomass,2025,capaConvResi,0.758,
usa,kentucky,hhtBiomass,2030,capaConvResi,0.568,
usa,kentucky,hhtBiomass,2035,capaConvResi,0.426,
usa,louisiana,hhtBiomass,2015,capaConvResi,2.58,
usa,louisiana,hhtBiomass,2020,capaConvResi,1.935,
usa,louisiana,hhtBiomass,2025,capaConvResi,1.451,
usa,louisiana,hhtBiomass,2030,capaConvResi,1.089,
usa,louisiana,hhtBiomass,2035,capaConvResi,0.816,
usa,maine,hhtBiomass,2015,capaConvResi,0.243,
usa,maine,hhtBiomass,2020,capaConvResi,0.183,
usa,maine,hhtBiomass,2025,capaConvResi,0.137,
usa,maine,hhtBiomass,2030,capaConvResi,0.103,
usa,maine,hhtBiomass,2035,capaConvResi,0.077,
usa,maryland,hhtBiomass,2015,capaConvResi,1.349,
usa,maryland,hhtBiomass,2020,capaConvResi,1.012,
usa,maryland,hhtBiomass,2025,capaConvResi,0.759,
usa,maryland,hhtBiomass,2030,capaConvResi,0.569,
usa,maryland,hhtBiomass,2035,capaConvResi,0.427,
usa,massachusetts,hhtBiomass,2015,capaConvResi,1.944,
usa,massachusetts,hhtBiomass,2020,capaConvResi,1.458,
usa,massachusetts,hhtBiomass,2025,capaConvResi,1.094,
usa,massachusetts,hhtBiomass,2030,capaConvResi,0.82,
usa,massachusetts,hhtBiomass,2035,capaConvResi,0.615,
usa,michigan,hhtBiomass,2015,capaConvResi,2.988,
usa,michigan,hhtBiomass,2020,capaConvResi,2.241,
usa,michigan,hhtBiomass,2025,capaConvResi,1.681,
usa,michigan,hhtBiomass,2030,capaConvResi,1.261,
usa,michigan,hhtBiomass,2035,capaConvResi,0.946,
usa,minnesota,hhtBiomass,2015,capaConvResi,1.9,
usa,minnesota,hhtBiomass,2020,capaConvResi,1.425,
usa,minnesota,hhtBiomass,2025,capaConvResi,1.068,
usa,minnesota,hhtBiomass,2030,capaConvResi,0.801,
usa,minnesota,hhtBiomass,2035,capaConvResi,0.601,
usa,mississippi,hhtBiomass,2015,capaConvResi,0.727,
usa,mississippi,hhtBiomass,2020,capaConvResi,0.545,
usa,mississippi,hhtBiomass,2025,capaConvResi,0.409,
usa,mississippi,hhtBiomass,2030,capaConvResi,0.307,
usa,mississippi,hhtBiomass,2035,capaConvResi,0.23,
usa,missouri,hhtBiomass,2015,capaConvResi,1.472,
usa,missouri,hhtBiomass,2020,capaConvResi,1.104,
usa,missouri,hhtBiomass,2025,capaConvResi,0.828,
usa,missouri,hhtBiomass,2030,capaConvResi,0.621,
usa,missouri,hhtBiomass,2035,capaConvResi,0.466,
usa,montana,hhtBiomass,2015,capaConvResi,0.287,
usa,montana,hhtBiomass,2020,capaConvResi,0.215,
usa,montana,hhtBiomass,2025,capaConvResi,0.161,
usa,montana,hhtBiomass,2030,capaConvResi,0.121,
usa,montana,hhtBiomass,2035,capaConvResi,0.091,
usa,nebraska,hhtBiomass,2015,capaConvResi,0.619,
usa,nebraska,hhtBiomass,2020,capaConvResi,0.464,
usa,nebraska,hhtBiomass,2025,capaConvResi,0.348,
usa,nebraska,hhtBiomass,2030,capaConvResi,0.261,
usa,nebraska,hhtBiomass,2035,capaConvResi,0.196,
usa,nevada,hhtBiomass,2015,capaConvResi,0.692,
usa,nevada,hhtBiomass,2020,capaConvResi,0.519,
usa,nevada,hhtBiomass,2025,capaConvResi,0.389,
usa,nevada,hhtBiomass,2030,capaConvResi,0.292,
usa,nevada,hhtBiomass,2035,capaConvResi,0.219,
usa,newHampshire,hhtBiomass,2015,capaConvResi,0.315,
usa,newHampshire,hhtBiomass,2020,capaConvResi,0.237,
usa,newHampshire,hhtBiomass,2025,capaConvResi,0.177,
usa,newHampshire,hhtBiomass,2030,capaConvResi,0.133,
usa,newHampshire,hhtBiomass,2035,capaConvResi,0.1,
usa,newJersey,hhtBiomass,2015,capaConvResi,2.16,
usa,newJersey,hhtBiomass,2020,capaConvResi,1.62,
usa,newJersey,hhtBiomass,2025,capaConvResi,1.215,
usa,newJersey,hhtBiomass,2030,capaConvResi,0.911,
usa,newJersey,hhtBiomass,2035,capaConvResi,0.683,
usa,newMexico,hhtBiomass,2015,capaConvResi,0.584,
usa,newMexico,hhtBiomass,2020,capaConvResi,0.438,
usa,newMexico,hhtBiomass,2025,capaConvResi,0.328,
usa,newMexico,hhtBiomass,2030,capaConvResi,0.246,
usa,newMexico,hhtBiomass,2035,capaConvResi,0.185,
usa,newYork,hhtBiomass,2015,capaConvResi,4.232,
usa,newYork,hhtBiomass,2020,capaConvResi,3.174,
usa,newYork,hhtBiomass,2025,capaConvResi,2.38,
usa,newYork,hhtBiomass,2030,capaConvResi,1.785,
usa,newYork,hhtBiomass,2035,capaConvResi,1.339,
usa,northCarolina,hhtBiomass,2015,capaConvResi,3.313,
usa,northCarolina,hhtBiomass,2020,capaConvResi,2.484,
usa,northCarolina,hhtBiomass,2025,capaConvResi,1.863,
usa,northCarolina,hhtBiomass,2030,capaConvResi,1.398,
usa,northCarolina,hhtBiomass,2035,capaConvResi,1.048,
usa,northDakota,hhtBiomass,2015,capaConvResi,0.53,
usa,northDakota,hhtBiomass,2020,capaConvResi,0.397,
usa,northDakota,hhtBiomass,2025,capaConvResi,0.298,
usa,northDakota,hhtBiomass,2030,capaConvResi,0.224,
usa,northDakota,hhtBiomass,2035,capaConvResi,0.168,
usa,ohio,hhtBiomass,2015,capaConvResi,3.654,
usa,ohio,hhtBiomass,2020,capaConvResi,2.74,
usa,ohio,hhtBiomass,2025,capaConvResi,2.055,
usa,ohio,hhtBiomass,2030,capaConvResi,1.541,
usa,ohio,hhtBiomass,2035,capaConvResi,1.156,
usa,oklahoma,hhtBiomass,2015,capaConvResi,1.707,
usa,oklahoma,hhtBiomass,2020,capaConvResi,1.28,
usa,oklahoma,hhtBiomass,2025,capaConvResi,0.96,
usa,oklahoma,hhtBiomass,2030,capaConvResi,0.72,
usa,oklahoma,hhtBiomass,2035,capaConvResi,0.54,
usa,oregon,hhtBiomass,2015,capaConvResi,1.772,
usa,oregon,hhtBiomass,2020,capaConvResi,1.329,
usa,oregon,hhtBiomass,2025,capaConvResi,0.997,
usa,oregon,hhtBiomass,2030,capaConvResi,0.748,
usa,oregon,hhtBiomass,2035,capaConvResi,0.561,
usa,pennsylvania,hhtBiomass,2015,capaConvResi,3.642,
usa,pennsylvania,hhtBiomass,2020,capaConvResi,2.732,
usa,pennsylvania,hhtBiomass,2025,capaConvResi,2.049,
usa,pennsylvania,hhtBiomass,2030,capaConvResi,1.536,
usa,pennsylvania,hhtBiomass,2035,capaConvResi,1.152,
usa,rhodeIsland,hhtBiomass,2015,capaConvResi,0.213,
usa,rhodeIsland,hhtBiomass,2020,capaConvResi,0.159,
usa,rhodeIsland,hhtBiomass,2025,capaConvResi,0.12,
usa,rhodeIsland,hhtBiomass,2030,capaConvResi,0.09,
usa,rhodeIsland,hhtBiomass,2035,capaConvResi,0.067,
usa,southCarolina,hhtBiomass,2015,capaConvResi,1.236,
usa,southCarolina,hhtBiomass,2020,capaConvResi,0.927,
usa,southCarolina,hhtBiomass,2025,capaConvResi,0.695,
usa,southCarolina,hhtBiomass,2030,capaConvResi,0.521,
usa,southCarolina,hhtBiomass,2035,capaConvResi,0.391,
usa,southDakota,hhtBiomass,2015,capaConvResi,0.21,
usa,southDakota,hhtBiomass,2020,capaConvResi,0.157,
usa,southDakota,hhtBiomass,2025,capaConvResi,0.118,
usa,southDakota,hhtBiomass,2030,capaConvResi,0.089,
usa,southDakota,hhtBiomass,2035,capaConvResi,0.066,
usa,tennessee,hhtBiomass,2015,capaConvResi,1.589,
usa,tennessee,hhtBiomass,2020,capaConvResi,1.192,
usa,tennessee,hhtBiomass,2025,capaConvResi,0.894,
usa,tennessee,hhtBiomass,2030,capaConvResi,0.67,
usa,tennessee,hhtBiomass,2035,capaConvResi,0.503,
usa,texas,hhtBiomass,2015,capaConvResi,16.805,
usa,texas,hhtBiomass,2020,capaConvResi,12.604,
usa,texas,hhtBiomass,2025,capaConvResi,9.453,
