technology_4,timestep_2,parameter_1,value_1,parameter_2,value_2,comment
resPvRooftopResidential,2045,costExpConv,589,costOprConv,18.1,
resPvRooftopResidential,2050,costExpConv,537,costOprConv,17.6,
xElectrolysis,2015,costExpConv,539.9,costOprConv,21.6,
xElectrolysis,2020,costExpConv,462.29,costOprConv,18.22,
xElectrolysis,2025,costExpConv,337.44,costOprConv,13.5,
xElectrolysis,2030,costExpConv,256.45,costOprConv,10.12,
xElectrolysis,2035,costExpConv,229.46,costOprConv,9.45,
xElectrolysis,2040,costExpConv,209.21,costOprConv,8.1,
xElectrolysis,2045,costExpConv,188.97,costOprConv,7.42,
xElectrolysis,2050,costExpConv,175.47,costOprConv,6.75,
xFuelCell,2015,costExpConv,1583.07,costOprConv,0,
xFuelCell,2020,costExpConv,1188.41,costOprConv,0,
xFuelCell,2025,costExpConv,1055.38,costOprConv,0,
xFuelCell,2030,costExpConv,922.35,costOprConv,0,
xFuelCell,2035,costExpConv,875.79,costOprConv,0,
xFuelCell,2040,costExpConv,829.23,costOprConv,0,
xFuelCell,2045,costExpConv,800.4,costOprConv,0,
xFuelCell,2050,costExpConv,771.58,costOprConv,0,
xMethanation,2015,costExpConv,298.24,costOprConv,6.06,
xMethanation,2020,costExpConv,255.2,costOprConv,4.85,
xMethanation,2025,costExpConv,187.92,costOprConv,3.64,
xMethanation,2030,costExpConv,141.85,costOprConv,3.03,
xMethanation,2035,costExpConv,126.09,costOprConv,2.42,
xMethanation,2040,costExpConv,115.18,costOprConv,2.42,
xMethanation,2045,costExpConv,104.26,costOprConv,1.82,
xMethanation,2050,costExpConv,96.99,costOprConv,1.82,
pHydrogen,2015,costExpConv,383.26,costOprConv,9.58,
pHydrogen,2020,costExpConv,374.83,costOprConv,9.37,
pHydrogen,2025,costExpConv,366.41,costOprConv,9.16,
pHydrogen,2030,costExpConv,357.99,costOprConv,8.95,
pHydrogen,2035,costExpConv,349.56,costOprConv,8.74,
pHydrogen,2040,costExpConv,341.14,costOprConv,8.53,
pHydrogen,2045,costExpConv,332.72,costOprConv,8.32,
pHydrogen,2050,costExpConv,324.29,costOprConv,8.11,
