region_1,region_2,carrier_1,timestep_2,parameter,value
usa,florida,biomass,2030,useUp,46320.13
usa,florida,biomass,2035,useUp,50890.97
usa,florida,biomass,2040,useUp,55912.85
usa,florida,biomass,2045,useUp,61430.29
usa,florida,biomass,2050,useUp,67492.18
usa,georgia,biomass,2015,useUp,44531.15
usa,georgia,biomass,2020,useUp,48925.45
usa,georgia,biomass,2025,useUp,53753.37
usa,georgia,biomass,2030,useUp,59057.72
usa,georgia,biomass,2035,useUp,64885.49
usa,georgia,biomass,2040,useUp,71288.34
usa,georgia,biomass,2045,useUp,78323.02
usa,georgia,biomass,2050,useUp,86051.87
usa,iowa,biomass,2015,useUp,91144.73
usa,iowa,biomass,2020,useUp,100138.83
usa,iowa,biomass,2025,useUp,110020.45
usa,iowa,biomass,2030,useUp,120877.19
usa,iowa,biomass,2035,useUp,132805.25
usa,iowa,biomass,2040,useUp,145910.38
usa,iowa,biomass,2045,useUp,160308.7
usa,iowa,biomass,2050,useUp,176127.84
usa,idaho,biomass,2015,useUp,17369.99
usa,idaho,biomass,2020,useUp,19084.04
usa,idaho,biomass,2025,useUp,20967.24
usa,idaho,biomass,2030,useUp,23036.27
usa,idaho,biomass,2035,useUp,25309.47
usa,idaho,biomass,2040,useUp,27806.99
usa,idaho,biomass,2045,useUp,30550.97
usa,idaho,biomass,2050,useUp,33565.71
usa,illinois,biomass,2015,useUp,78177.52
usa,illinois,biomass,2020,useUp,85892.01
usa,illinois,biomass,2025,useUp,94367.77
usa,illinois,biomass,2030,useUp,103679.91
usa,illinois,biomass,2035,useUp,113910.97
usa,illinois,biomass,2040,useUp,125151.62
usa,illinois,biomass,2045,useUp,137501.49
usa,illinois,biomass,2050,useUp,151070.03
usa,indiana,biomass,2015,useUp,45077.15
usa,indiana,biomass,2020,useUp,49525.33
usa,indiana,biomass,2025,useUp,54412.45
usa,indiana,biomass,2030,useUp,59781.83
usa,indiana,biomass,2035,useUp,65681.06
usa,indiana,biomass,2040,useUp,72162.41
usa,indiana,biomass,2045,useUp,79283.34
usa,indiana,biomass,2050,useUp,87106.97
usa,kansas,biomass,2015,useUp,39113.38
usa,kansas,biomass,2020,useUp,42973.06
usa,kansas,biomass,2025,useUp,47213.6
usa,kansas,biomass,2030,useUp,51872.61
usa,kansas,biomass,2035,useUp,56991.36
usa,kansas,biomass,2040,useUp,62615.22
usa,kansas,biomass,2045,useUp,68794.04
usa,kansas,biomass,2050,useUp,75582.59
usa,kentucky,biomass,2015,useUp,22875.98
usa,kentucky,biomass,2020,useUp,25133.36
usa,kentucky,biomass,2025,useUp,27613.51
usa,kentucky,biomass,2030,useUp,30338.39
usa,kentucky,biomass,2035,useUp,33332.15
usa,kentucky,biomass,2040,useUp,36621.35
usa,kentucky,biomass,2045,useUp,40235.11
usa,kentucky,biomass,2050,useUp,44205.48
usa,louisiana,biomass,2015,useUp,43007.38
usa,louisiana,biomass,2020,useUp,47251.31
usa,louisiana,biomass,2025,useUp,51914.04
usa,louisiana,biomass,2030,useUp,57036.87
usa,louisiana,biomass,2035,useUp,62665.23
usa,louisiana,biomass,2040,useUp,68848.99
usa,louisiana,biomass,2045,useUp,75642.95
usa,louisiana,biomass,2050,useUp,83107.34
usa,massachusetts,biomass,2015,useUp,4501.68
usa,massachusetts,biomass,2020,useUp,4945.9
usa,massachusetts,biomass,2025,useUp,5433.96
usa,massachusetts,biomass,2030,useUp,5970.18
usa,massachusetts,biomass,2035,useUp,6559.31
usa,massachusetts,biomass,2040,useUp,7206.58
